Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -5.0* y) ; MojoFM: 78.57
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -4.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -4.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -3.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -3.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -2.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -2.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -1.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -1.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + -0.5* y) ; MojoFM: 70.37
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 0.0* y) ; MojoFM: 70.37
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 0.5* y) ; MojoFM: 46.15
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 1.0* y) ; MojoFM: 39.13
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 1.5* y) ; MojoFM: 33.33
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 2.0* y) ; MojoFM: 20.83
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 2.5* y) ; MojoFM: 33.33
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 3.0* y) ; MojoFM: 41.67
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 3.5* y) ; MojoFM: 45.83
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 4.0* y) ; MojoFM: 53.85
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 4.5* y) ; MojoFM: 53.85
Equation: (-5.0*x + -5.0* y) / ( -5.0*x + 5.0* y) ; MojoFM: 64.0
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -5.0* y) ; MojoFM: 100.0
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -4.5* y) ; MojoFM: 78.57
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -4.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -3.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -3.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -2.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -2.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -1.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -1.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + -0.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 0.0* y) ; MojoFM: 70.37
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 0.5* y) ; MojoFM: 57.69
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 1.0* y) ; MojoFM: 33.33
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 1.5* y) ; MojoFM: 53.85
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 2.0* y) ; MojoFM: 24.0
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 2.5* y) ; MojoFM: 41.67
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 3.0* y) ; MojoFM: 29.63
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 3.5* y) ; MojoFM: 44.0
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 4.0* y) ; MojoFM: 53.85
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 4.5* y) ; MojoFM: 64.0
Equation: (-5.0*x + -5.0* y) / ( -4.5*x + 5.0* y) ; MojoFM: 64.0
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -5.0* y) ; MojoFM: 100.0
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -4.5* y) ; MojoFM: 100.0
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -4.0* y) ; MojoFM: 78.57
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -3.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -3.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -2.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -2.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -1.5* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -1.0* y) ; MojoFM: 76.92
Equation: (-5.0*x + -5.0* y) / ( -4.0*x + -0.5* y) ; MojoFM: 76.92
