instância;nclasses;mojo;tempo;solução;nevaluationsConsumed 
aaa-fake-06;6;100,0000;98ms;[2, 0, 4, 3];21
acqCIGNA;114;100,0000;2470ms;[4, 5, 1, 3];110
apache_zip;36;100,0000;412ms;[1, 5, 3, 4];439
bash;92;100,0000;2469ms;[2, 5, 1, 3];253
bison;37;100,0000;888ms;[6, 5, 9, 7];1113
bitchx;97;100,0000;16319ms;[8, 5, 9, 7];1605
bootp;27;100,0000;18ms;[1, 5, 3, 3];18
boxer;18;100,0000;19ms;[3, 3, 4, 2];64
bunch;23;100,0000;48ms;[2, 4, 1, 3];150
bunch2;65;100,0000;1273ms;[9, 5, 7, 6];411
bunchall;324;100,0000;21224ms;[7, 5, 7, 6];57
bunch_2;116;100,0000;1237ms;[6, 5, 9, 7];70
cia;38;100,0000;162ms;[6, 5, 9, 7];91
cia++;123;100,0000;2178ms;[8, 5, 9, 7];112
ciald;26;100,0000;177ms;[2, 5, 1, 4];612
compiler;13;100,0000;46ms;[7, 5, 7, 6];527
crond;29;100,0000;233ms;[3, 5, 1, 3];613
cyrus-sasl;32;100,0000;26ms;[1, 5, 3, 4];25
dhcpd-1;59;100,0000;575ms;[6, 5, 7, 6];227
dhcpd-2;31;100,0000;142ms;[9, 5, 6, 6];301
dom4j;195;100,0000;7692ms;[3, 5, 1, 3];99
dot;42;100,0000;925ms;[3, 5, 1, 3];950
elm-1;88;100,0000;3420ms;[7, 5, 7, 6];427
elm-2;81;100,0000;1514ms;[2, 5, 3, 4];243
exim;118;100,0000;2202ms;[1, 5, 1, 3];116
forms;68;100,0000;279ms;[8, 5, 9, 7];71
gae_plugin_core;139;100,0000;283ms;[0, 5, 3, 4];7
gnupg;88;100,0000;174ms;[1, 5, 3, 4];13
graph10up193;193;100,0000;1060ms;[2, 5, 1, 3];11
graph10up49;49;100,0000;402ms;[3, 5, 1, 3];264
grappa;86;100,0000;675ms;[9, 5, 9, 7];97
hw;53;100,0000;15ms;[2, 4, 0, 3];1
icecast;60;100,0000;236ms;[2, 5, 1, 3];82
imapd-1;53;100,0000;530ms;[1, 5, 3, 4];293
incl;172;100,0000;13804ms;[1, 5, 1, 3];272
inn;90;100,0000;1088ms;[6, 5, 7, 6];135
ispell;24;100,0000;104ms;[7, 5, 7, 6];310
JACE;338;100,0000;5911ms;[7, 5, 9, 7];15
javacc;153;100,0000;4742ms;[3, 5, 1, 3];126
JavaGeom;171;100,0000;6102ms;[2, 5, 1, 3];114
javaocr;58;100,0000;177ms;[7, 5, 9, 7];65
javaws;377;100,0000;127201ms;[8, 5, 9, 7];190
jconsole;220;100,0000;34285ms;[2, 5, 1, 3];240
jdendogram;177;100,0000;20607ms;[7, 5, 9, 7];261
jfluid;81;100,0000;1555ms;[7, 5, 9, 7];190
jkaryoscope;136;100,0000;20486ms;[1, 5, 1, 3];613
jmetal;190;100,0000;8234ms;[1, 5, 1, 3];94
jodamoney;26;100,0000;110ms;[9, 5, 9, 7];170
joe;51;100,0000;877ms;[6, 5, 9, 7];459
jpassword;96;100,0000;449ms;[1, 5, 3, 4];31
jpassword2;269;100,0000;5277ms;[1, 5, 1, 3];20
jscatterplot;74;100,0000;573ms;[3, 5, 3, 4];85
jstl;15;100,0000;66ms;[2, 5, 4, 4];30
Jung_graph_model;207;100,0000;32321ms;[8, 5, 9, 7];288
junit;99;100,0000;814ms;[8, 5, 9, 7];58
jxlscore;79;100,0000;2246ms;[4, 5, 3, 4];316
jxlsreader;27;100,0000;109ms;[3, 5, 2, 3];106
krb5;558;100,0000;483466ms;[6, 5, 9, 7];200
lab4;15;100,0000;62ms;[2, 1, 3, 1];1
log4j;305;100,0000;6455ms;[2, 5, 3, 4];17
lslayout;17;100,0000;70ms;[8, 5, 7, 6];84
lucent;153;100,0000;82ms;[1, 0, 3, 2];1
lynx;148;100,0000;1802ms;[8, 5, 8, 7];43
mailx;41;100,0000;185ms;[8, 5, 7, 6];104
micq;33;100,0000;192ms;[3, 5, 2, 4];285
minicom;40;100,0000;98ms;[7, 5, 9, 7];41
Modulizer;26;100,0000;164ms;[8, 5, 9, 7];370
mod_ssl;135;100,0000;4992ms;[3, 5, 1, 3];152
mtunis;20;100,0000;126ms;[8, 5, 9, 6];431
nanoxml;25;100,0000;41ms;[9, 5, 9, 7];48
ncurses;138;100,0000;9128ms;[4, 5, 3, 4];268
net-tools;48;100,0000;754ms;[1, 5, 1, 3];398
netkit-ftp;29;100,0000;109ms;[9, 8, 8, 8];68
netkit-inetd;24;100,0000;46ms;[2, 5, 1, 4];79
netkit-ping;15;100,0000;13ms;[3, 2, 4, 2];1
