;;ncommit;;single_class;;single_class_percent;;single_package;;single_package_percent;;classes_commit_mean_sd;;packages_commit_mean_sd;\\
3.5.0;&;8;&;2;&;25;&;3;&;37,5;&;(2,5)  15 $\pm$ 22,88;&;(2,5)  3,75 $\pm$ 3,45;\\
3.6.0;&;2;&;0;&;0;&;0;&;0;&;(13,5)  13,5 $\pm$ 6,36;&;(6,5)  6,5 $\pm$ 0,71;\\
3.8.0;&;55;&;27;&;49,09;&;32;&;58,18;&;(2)  4,96 $\pm$ 9,98;&;(1)  2,25 $\pm$ 2,18;\\
3.8.1;&;11;&;3;&;27,27;&;7;&;63,64;&;(2)  2,45 $\pm$ 1,37;&;(1)  1,73 $\pm$ 1,19;\\
3.8.2;&;4;&;2;&;50;&;2;&;50;&;(3,5)  26 $\pm$ 46,73;&;(2,5)  5,5 $\pm$ 7,14;\\
4.0.0;&;28;&;15;&;53,57;&;15;&;53,57;&;(1)  12,43 $\pm$ 44,49;&;(1)  3,11 $\pm$ 5,88;\\
4.1.0;&;5;&;1;&;20;&;1;&;20;&;(4)  7 $\pm$ 7,75;&;(2)  5,8 $\pm$ 8,01;\\
4.2.0;&;15;&;6;&;40;&;6;&;40;&;(2)  4,93 $\pm$ 8,58;&;(2)  2,8 $\pm$ 2,81;\\
4.3.1;&;25;&;4;&;16;&;4;&;16;&;(5)  20,72 $\pm$ 65,44;&;(3)  4,96 $\pm$ 8,35;\\
4.4.0;&;51;&;3;&;5,88;&;4;&;7,84;&;(7)  13,98 $\pm$ 18,64;&;(4)  5,76 $\pm$ 5,05;\\
4.5.0;&;152;&;58;&;38,16;&;63;&;41,45;&;(2)  7,66 $\pm$ 39,78;&;(2)  3,44 $\pm$ 7,49;\\
4.6.0;&;44;&;6;&;13,64;&;7;&;15,91;&;(3,5)  16,84 $\pm$ 55,15;&;(2,5)  5,66 $\pm$ 10,3;\\
4.7.0;&;174;&;51;&;29,31;&;60;&;34,48;&;(3)  5,76 $\pm$ 8,76;&;(2)  3,37 $\pm$ 3,44;\\
4.8.1;&;33;&;7;&;21,21;&;9;&;27,27;&;(3)  5,64 $\pm$ 7,5;&;(2)  4 $\pm$ 4,97;\\
4.9.0;&;146;&;45;&;30,82;&;48;&;32,88;&;(3)  8,12 $\pm$ 13,58;&;(2)  4,64 $\pm$ 6,37;\\
4.10.0;&;34;&;12;&;35,29;&;12;&;35,29;&;(3,5)  10,38 $\pm$ 16,04;&;(3)  5,68 $\pm$ 7;\\
4.11.0;&;662;&;246;&;37,16;&;260;&;39,27;&;(2)  13,7 $\pm$ 40,09;&;(2)  5,77 $\pm$ 9,79;\\
4.12.0;&;7;&;4;&;57,14;&;4;&;57,14;&;(1)  2,43 $\pm$ 2,15;&;(1)  2,43 $\pm$ 2,15;\\
4.12.2;&;21;&;6;&;28,57;&;6;&;28,57;&;(3)  14,9 $\pm$ 29,78;&;(3)  6,67 $\pm$ 9,99;\\
4.12.3;&;10;&;6;&;60;&;6;&;60;&;(1)  1,7 $\pm$ 1,25;&;(1)  1,6 $\pm$ 0,97;\\
4.13.0;&;266;&;130;&;48,87;&;144;&;54,14;&;(2)  9,27 $\pm$ 35,46;&;(1)  4 $\pm$ 10,32;\\
