projectName;intDep;extDep;intDepClas;extDepClas;extclasDep
jedit-5.5.0.odem;589;419;150;89;521
jedit-5.5.0.odem;198;249;65;46;25
jedit-5.5.0.odem;741;8;89;4;26
jedit-5.5.0.odem;35;13;12;4;2
jedit-5.5.0.odem;1;4;1;2;1
jedit-5.5.0.odem;0;3;0;1;0
jedit-5.5.0.odem;22;0;8;0;1
jedit-5.5.0.odem;0;1;0;1;1
jedit-5.5.0.odem;66;41;24;11;82
jedit-5.5.0.odem;9;66;7;9;11
jedit-5.5.0.odem;36;43;13;12;18
jedit-5.5.0.odem;8;11;5;6;6
jedit-5.5.0.odem;622;505;243;141;123
jedit-5.5.0.odem;184;160;63;59;5
jedit-5.5.0.odem;19;20;10;5;2
jedit-5.5.0.odem;112;47;37;14;2
jedit-5.5.0.odem;55;36;22;19;2
jedit-5.5.0.odem;4;16;3;2;15
jedit-5.5.0.odem;74;89;30;22;72
jedit-5.5.0.odem;44;117;25;26;4
jedit-5.5.0.odem;5;40;4;17;51
jedit-5.5.0.odem;245;282;107;79;9
jedit-5.5.0.odem;270;179;74;40;6
jedit-5.5.0.odem;164;103;53;21;1
jedit-5.5.0.odem;1;5;1;1;0
jedit-5.5.0.odem;189;193;59;45;4
jedit-5.5.0.odem;70;13;21;6;46
jedit-5.5.0.odem;274;200;67;45;96
jedit-5.5.0.odem;2;7;2;3;16
jedit-5.5.0.odem;67;7;31;4;309
jedit-5.5.0.odem;0;3;0;1;3
jedit-5.5.0.odem;5;4;3;2;0
jedit-5.5.0.odem;10;19;4;3;12
jedit-5.5.0.odem;1;10;1;3;1
jedit-5.5.0.odem;11;28;6;7;2
jhotdraw-7.6.0.odem;563;145;226;65;83
jhotdraw-7.6.0.odem;7;7;7;4;19
jhotdraw-7.6.0.odem;6;2;4;1;29
jhotdraw-7.6.0.odem;164;13;76;9;2
jhotdraw-7.6.0.odem;4;0;3;0;1
jhotdraw-7.6.0.odem;4;0;3;0;3
jhotdraw-7.6.0.odem;22;1;8;1;3
jhotdraw-7.6.0.odem;80;7;27;1;6
jhotdraw-7.6.0.odem;9;8;3;4;3
jhotdraw-7.6.0.odem;9;1;4;1;7
jhotdraw-7.6.0.odem;0;0;0;0;1
jhotdraw-7.6.0.odem;14;5;7;5;2
jhotdraw-7.6.0.odem;2;0;1;0;1
jhotdraw-7.6.0.odem;1;0;1;0;4
jhotdraw-7.6.0.odem;63;26;20;14;46
jhotdraw-7.6.0.odem;4;5;4;5;3
jhotdraw-7.6.0.odem;46;43;22;13;1
jhotdraw-7.6.0.odem;0;1;0;1;0
jhotdraw-7.6.0.odem;49;61;23;19;0
jhotdraw-7.6.0.odem;28;28;9;12;2
jhotdraw-7.6.0.odem;0;29;0;6;28
jhotdraw-7.6.0.odem;114;73;46;30;0
jhotdraw-7.6.0.odem;27;30;13;10;4
jhotdraw-7.6.0.odem;0;10;0;2;0
jhotdraw-7.6.0.odem;0;2;0;1;0
jhotdraw-7.6.0.odem;4;9;4;2;0
jhotdraw-7.6.0.odem;1;7;1;3;0
jhotdraw-7.6.0.odem;0;1;0;1;0
jhotdraw-7.6.0.odem;29;7;21;5;98
jhotdraw-7.6.0.odem;65;0;20;0;2
jhotdraw-7.6.0.odem;74;57;22;14;73
jhotdraw-7.6.0.odem;13;30;9;7;24
jhotdraw-7.6.0.odem;18;76;12;16;2
jhotdraw-7.6.0.odem;14;29;14;11;4
jhotdraw-7.6.0.odem;40;148;32;32;5
jhotdraw-7.6.0.odem;6;15;6;6;3
jhotdraw-7.6.0.odem;10;5;7;3;1
jhotdraw-7.6.0.odem;1;0;1;0;30
