cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster;metrics
0;junit-4.12.3.odem;286;[2.5,0.0,-1.0,-2.0,2.0,2.0,1.5,-1.0,];[10, 5, 3, 1, 9, 9, 8, 3];60.9;20008;16151;14116825;[15, 15, 26, 111, 15, 111, 111, 14, 15, 14, 15, 111, 26, 15, 14, 15, 26, 26, 27, 24, 24, 23, 24, 23, 24, 25, 26, 27, 215, 43, 224, 224, 215, 224, 224, 43, 224, 224, 43, 215, 215, 272, 265, 43, 224, 278, 64, 278, 278, 250, 217, 64, 64, 253, 278, 242, 250, 242, 135, 64, 272, 242, 242, 64, 64, 238, 275, 253, 257, 278, 238, 275, 275, 233, 275, 263, 250, 275, 275, 275, 234, 238, 101, 93, 238, 103, 100, 100, 100, 238, 256, 93, 271, 93, 238, 256, 285, 238, 238, 101, 100, 101, 238, 103, 256, 238, 238, 271, 250, 253, 173, 111, 125, 238, 269, 269, 250, 125, 173, 266, 125, 238, 125, 125, 173, 125, 173, 134, 134, 135, 134, 134, 135, 134, 134, 135, 263, 173, 263, 263, 263, 263, 263, 263, 263, 263, 263, 263, 263, 263, 267, 157, 253, 157, 157, 155, 253, 157, 259, 166, 166, 164, 166, 167, 164, 166, 166, 167, 224, 172, 266, 172, 172, 173, 266, 176, 176, 250, 192, 197, 191, 192, 192, 196, 192, 191, 197, 192, 197, 200, 192, 191, 192, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 217, 230, 230, 269, 231, 233, 224, 224, 233, 232, 269, 232, 231, 230, 231, 232, 233, 234, 257, 257, 257, 238, 245, 242, 245, 242, 245, 256, 245, 250, 250, 250, 250, 250, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 263, 266, 265, 266, 267, 269, 269, 271, 271, 272, 285, 275, 275, 278, 284, 278, 284, 284, 283, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
1;junit-4.12.3.odem;286;[1.5,-0.5,-1.5,-2.0,0.5,0.5,2.0,-2.0,];[8, 4, 2, 1, 6, 6, 9, 1];61.28;20002;0;13906904;[4, 174, 27, 174, 4, 174, 170, 14, 174, 14, 174, 174, 27, 174, 14, 174, 27, 27, 27, 22, 24, 23, 22, 23, 24, 25, 27, 27, 256, 43, 230, 230, 215, 230, 230, 43, 36, 44, 43, 256, 40, 272, 265, 43, 44, 278, 64, 278, 278, 177, 217, 64, 64, 67, 69, 244, 177, 244, 278, 64, 272, 64, 62, 64, 64, 244, 274, 67, 257, 69, 97, 274, 215, 73, 274, 97, 253, 274, 274, 79, 234, 106, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 271, 93, 94, 256, 285, 97, 98, 101, 100, 101, 106, 103, 256, 106, 106, 271, 116, 253, 126, 170, 259, 170, 269, 269, 116, 259, 126, 174, 259, 170, 259, 259, 126, 259, 126, 231, 134, 135, 134, 231, 135, 134, 134, 135, 146, 236, 146, 146, 146, 146, 146, 146, 236, 236, 146, 236, 236, 278, 177, 157, 177, 157, 157, 157, 177, 157, 259, 166, 283, 164, 166, 167, 164, 166, 166, 167, 230, 172, 170, 172, 172, 174, 174, 176, 176, 177, 193, 196, 191, 196, 196, 196, 193, 191, 197, 196, 196, 196, 193, 191, 193, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 217, 231, 231, 230, 231, 233, 230, 230, 233, 232, 269, 232, 231, 230, 231, 232, 233, 234, 257, 236, 244, 244, 245, 244, 245, 244, 245, 244, 245, 253, 253, 253, 253, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 269, 269, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 284, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
2;junit-4.12.3.odem;286;[0.0,-1.0,-1.0,-1.5,1.0,1.5,1.5,0.5,];[5, 3, 3, 2, 7, 8, 8, 6];59.77;20003;11891;11389548;[23, 23, 14, 11, 23, 11, 111, 14, 23, 14, 23, 11, 27, 23, 14, 23, 27, 27, 27, 23, 24, 23, 23, 23, 24, 25, 27, 27, 256, 43, 242, 230, 215, 230, 252, 43, 230, 230, 43, 193, 242, 272, 265, 43, 230, 149, 64, 149, 149, 56, 247, 64, 64, 67, 69, 242, 56, 242, 149, 64, 272, 62, 62, 64, 64, 240, 283, 67, 257, 69, 238, 283, 215, 233, 283, 238, 269, 283, 283, 79, 234, 242, 240, 93, 238, 103, 100, 100, 100, 98, 256, 93, 271, 93, 238, 256, 285, 238, 98, 240, 100, 240, 240, 103, 256, 240, 240, 271, 116, 269, 126, 111, 259, 268, 268, 268, 116, 259, 126, 268, 259, 268, 259, 259, 126, 259, 126, 134, 134, 135, 134, 134, 135, 134, 134, 135, 236, 236, 236, 236, 236, 236, 236, 236, 236, 236, 236, 236, 236, 149, 268, 157, 268, 157, 157, 157, 268, 157, 259, 166, 166, 164, 166, 167, 164, 166, 166, 167, 230, 172, 172, 172, 172, 268, 268, 176, 176, 269, 193, 197, 191, 193, 193, 200, 193, 191, 197, 200, 188, 200, 193, 191, 193, 193, 197, 197, 200, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 247, 231, 231, 230, 231, 233, 230, 230, 233, 232, 268, 232, 231, 230, 231, 232, 233, 234, 257, 236, 238, 238, 245, 240, 245, 242, 245, 256, 245, 269, 247, 269, 269, 269, 252, 252, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 268, 268, 269, 271, 271, 272, 273, 283, 284, 283, 284, 283, 284, 284, 284, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
3;junit-4.12.3.odem;286;[0.0,0.5,1.5,2.0,-1.5,-0.5,-1.5,2.0,];[5, 6, 8, 9, 2, 4, 2, 9];62.03;20005;8277;11544204;[16, 16, 16, 11, 22, 11, 111, 14, 16, 14, 16, 11, 26, 16, 14, 16, 16, 26, 26, 22, 24, 23, 22, 23, 24, 25, 26, 174, 256, 43, 67, 230, 214, 230, 252, 43, 149, 230, 43, 192, 67, 272, 265, 43, 230, 149, 64, 149, 149, 56, 247, 64, 64, 67, 69, 67, 56, 67, 149, 64, 272, 64, 64, 64, 64, 244, 278, 67, 257, 69, 238, 278, 215, 233, 278, 238, 269, 278, 278, 284, 238, 106, 101, 93, 94, 103, 100, 100, 100, 98, 256, 93, 271, 93, 94, 256, 285, 238, 98, 101, 100, 101, 106, 103, 256, 106, 106, 271, 116, 269, 126, 111, 117, 113, 268, 268, 116, 117, 126, 174, 259, 121, 259, 259, 126, 259, 126, 134, 134, 135, 134, 134, 135, 134, 134, 135, 148, 146, 146, 148, 148, 148, 146, 148, 148, 148, 146, 148, 148, 149, 156, 157, 156, 157, 157, 157, 156, 157, 259, 166, 166, 259, 166, 167, 259, 166, 166, 167, 230, 172, 172, 172, 172, 174, 174, 176, 176, 269, 192, 197, 191, 192, 192, 200, 192, 191, 197, 200, 200, 200, 192, 191, 192, 193, 197, 197, 200, 197, 200, 200, 200, 202, 202, 214, 214, 214, 214, 214, 214, 215, 214, 214, 215, 215, 214, 215, 233, 247, 233, 233, 231, 231, 233, 230, 231, 233, 232, 268, 232, 231, 230, 231, 232, 233, 238, 257, 257, 257, 238, 245, 244, 245, 244, 245, 244, 245, 269, 247, 269, 269, 269, 252, 252, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 268, 268, 269, 271, 271, 272, 273, 284, 284, 278, 284, 278, 284, 284, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
4;junit-4.12.3.odem;286;[-0.5,0.0,0.0,1.5,-1.5,-1.0,-2.5,1.0,];[4, 5, 5, 8, 2, 3, 0, 7];62.03;20003;19737;14118625;[232, 232, 232, 15, 22, 15, 15, 232, 232, 232, 232, 15, 26, 232, 232, 15, 232, 26, 26, 22, 232, 23, 22, 23, 232, 25, 26, 268, 256, 43, 67, 231, 215, 231, 252, 43, 283, 231, 43, 193, 67, 272, 265, 43, 231, 149, 64, 149, 149, 177, 247, 64, 64, 67, 149, 67, 177, 67, 149, 64, 272, 64, 64, 64, 64, 244, 283, 67, 257, 176, 283, 283, 215, 245, 283, 283, 269, 283, 283, 284, 283, 106, 101, 93, 97, 103, 100, 100, 100, 103, 256, 93, 271, 93, 97, 256, 285, 97, 103, 101, 100, 101, 106, 103, 256, 106, 106, 271, 268, 269, 126, 232, 268, 113, 268, 268, 268, 268, 126, 268, 259, 125, 259, 259, 126, 125, 126, 134, 134, 267, 134, 134, 267, 134, 134, 267, 219, 219, 219, 219, 219, 219, 219, 219, 219, 219, 219, 219, 219, 149, 156, 157, 156, 157, 157, 157, 156, 157, 259, 167, 167, 259, 167, 167, 259, 167, 167, 167, 231, 172, 172, 172, 172, 268, 268, 176, 176, 177, 193, 202, 191, 193, 193, 200, 193, 191, 202, 200, 202, 200, 193, 191, 193, 193, 202, 202, 200, 202, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 247, 219, 219, 231, 231, 233, 231, 231, 233, 232, 268, 232, 231, 231, 231, 232, 233, 283, 257, 257, 257, 283, 245, 244, 245, 244, 245, 244, 245, 269, 247, 269, 269, 269, 252, 252, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 267, 268, 269, 271, 271, 272, 285, 283, 284, 283, 284, 283, 284, 284, 284, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
5;junit-4.12.3.odem;286;[-1.0,-2.5,-0.5,0.0,1.5,2.5,0.5,-0.5,];[3, 0, 4, 5, 8, 10, 6, 4];60.53;20017;16548;13923184;[4, 249, 14, 11, 4, 11, 111, 14, 249, 14, 249, 11, 26, 26, 14, 26, 26, 26, 27, 22, 24, 23, 22, 23, 24, 25, 26, 27, 192, 43, 274, 274, 215, 274, 252, 43, 274, 44, 43, 192, 242, 272, 265, 43, 44, 278, 64, 278, 278, 56, 217, 64, 64, 67, 69, 242, 56, 242, 278, 64, 272, 62, 62, 64, 64, 106, 78, 67, 257, 69, 240, 78, 79, 233, 79, 240, 177, 78, 78, 79, 234, 121, 106, 93, 240, 103, 192, 192, 192, 106, 104, 93, 271, 93, 240, 104, 285, 240, 106, 106, 192, 106, 106, 103, 104, 106, 106, 271, 177, 253, 173, 111, 259, 121, 269, 269, 177, 259, 173, 266, 259, 121, 259, 259, 173, 259, 173, 268, 268, 135, 268, 268, 135, 268, 268, 135, 173, 173, 173, 173, 173, 173, 173, 173, 173, 173, 173, 173, 173, 173, 269, 157, 227, 157, 157, 157, 227, 157, 259, 166, 166, 164, 166, 167, 164, 166, 166, 167, 274, 174, 174, 174, 174, 173, 174, 176, 176, 177, 193, 197, 191, 187, 187, 196, 193, 191, 197, 187, 197, 196, 193, 191, 192, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 217, 256, 256, 231, 231, 233, 274, 231, 233, 232, 227, 232, 231, 274, 231, 232, 233, 234, 257, 256, 240, 240, 245, 240, 245, 242, 245, 256, 245, 253, 253, 253, 249, 253, 252, 252, 253, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 269, 268, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 283, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
6;junit-4.12.3.odem;286;[2.5,0.5,1.5,-2.5,1.5,0.5,1.5,2.0,];[10, 6, 8, 0, 8, 6, 8, 9];61.28;20014;2827;13928136;[25, 25, 247, 11, 25, 11, 11, 247, 23, 247, 23, 11, 247, 25, 247, 247, 25, 25, 25, 22, 247, 23, 22, 23, 247, 25, 247, 174, 192, 43, 284, 231, 215, 231, 269, 43, 284, 231, 43, 192, 57, 272, 265, 43, 231, 58, 64, 58, 58, 177, 50, 64, 64, 53, 58, 57, 177, 57, 58, 64, 272, 64, 64, 64, 64, 244, 284, 269, 257, 176, 244, 284, 215, 233, 284, 244, 269, 284, 284, 284, 244, 81, 101, 93, 94, 103, 100, 100, 100, 103, 256, 93, 107, 93, 94, 256, 107, 244, 103, 101, 100, 101, 107, 103, 256, 107, 107, 107, 174, 269, 126, 269, 174, 269, 174, 174, 174, 174, 126, 174, 174, 121, 174, 174, 126, 174, 126, 268, 268, 267, 268, 268, 267, 268, 268, 267, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 148, 149, 156, 157, 156, 157, 157, 157, 156, 157, 174, 167, 167, 174, 167, 167, 174, 167, 167, 167, 231, 172, 172, 172, 172, 174, 174, 176, 176, 177, 192, 202, 202, 192, 192, 200, 192, 202, 202, 200, 202, 200, 192, 202, 192, 193, 202, 202, 200, 202, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 215, 233, 247, 233, 233, 231, 231, 233, 231, 231, 233, 247, 268, 247, 231, 231, 231, 247, 233, 244, 257, 257, 257, 244, 245, 244, 245, 244, 245, 244, 245, 269, 247, 269, 269, 269, 269, 269, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 267, 268, 269, 270, 271, 272, 285, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
7;junit-4.12.3.odem;286;[1.5,-1.5,-2.0,-1.5,2.5,1.5,2.0,-1.0,];[8, 2, 1, 2, 10, 8, 9, 3];60.15;20005;15716;13965091;[4, 15, 16, 111, 4, 111, 111, 16, 15, 16, 15, 111, 15, 15, 16, 15, 16, 27, 27, 22, 24, 23, 22, 23, 24, 25, 27, 27, 256, 43, 253, 230, 215, 240, 240, 43, 253, 44, 43, 256, 240, 60, 265, 43, 44, 242, 64, 278, 278, 253, 217, 64, 64, 253, 69, 240, 253, 240, 278, 64, 60, 274, 274, 64, 64, 242, 274, 253, 257, 69, 238, 274, 79, 253, 274, 238, 177, 274, 274, 79, 234, 121, 101, 93, 242, 103, 100, 100, 100, 98, 121, 93, 271, 93, 242, 121, 285, 242, 98, 101, 100, 101, 121, 103, 121, 121, 121, 271, 177, 253, 173, 111, 125, 253, 269, 269, 177, 125, 173, 264, 125, 121, 125, 125, 173, 125, 173, 134, 134, 135, 134, 134, 135, 134, 134, 135, 149, 173, 149, 149, 149, 149, 149, 149, 149, 149, 149, 149, 149, 149, 269, 157, 253, 157, 157, 157, 253, 157, 259, 166, 168, 164, 166, 167, 164, 166, 166, 167, 168, 172, 266, 172, 172, 173, 266, 176, 176, 177, 238, 186, 191, 238, 238, 196, 238, 191, 186, 238, 238, 238, 238, 191, 238, 238, 238, 238, 196, 238, 200, 200, 200, 202, 202, 215, 215, 215, 209, 215, 209, 209, 215, 215, 215, 215, 215, 215, 233, 217, 230, 230, 230, 231, 233, 240, 230, 233, 232, 269, 232, 231, 230, 231, 232, 233, 234, 257, 256, 238, 238, 245, 240, 245, 242, 245, 256, 245, 253, 253, 253, 253, 253, 252, 252, 253, 263, 265, 256, 257, 272, 259, 272, 264, 272, 263, 264, 265, 266, 269, 269, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 283, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
8;junit-4.12.3.odem;286;[-1.5,0.0,1.0,2.5,-2.0,-0.5,-1.0,0.5,];[2, 5, 7, 10, 1, 4, 3, 6];60.53;20015;14463;13983352;[15, 15, 26, 11, 15, 11, 121, 24, 15, 24, 15, 11, 26, 15, 24, 15, 26, 26, 27, 22, 24, 23, 22, 23, 24, 25, 26, 27, 100, 43, 230, 230, 215, 230, 230, 43, 230, 230, 43, 100, 215, 272, 265, 43, 230, 278, 61, 278, 278, 56, 247, 61, 61, 57, 278, 57, 56, 57, 278, 64, 272, 61, 64, 64, 64, 244, 78, 269, 237, 278, 238, 238, 280, 225, 280, 238, 269, 280, 78, 280, 238, 244, 101, 93, 94, 103, 100, 100, 100, 98, 104, 93, 107, 93, 94, 104, 285, 238, 98, 101, 100, 101, 244, 103, 104, 244, 244, 107, 121, 269, 146, 121, 117, 121, 268, 268, 121, 117, 146, 121, 164, 121, 164, 164, 146, 164, 146, 134, 134, 135, 134, 134, 135, 134, 134, 135, 146, 219, 146, 146, 219, 219, 146, 219, 219, 219, 146, 219, 219, 278, 267, 157, 267, 157, 157, 155, 267, 157, 164, 166, 166, 164, 166, 167, 164, 166, 166, 167, 230, 172, 174, 172, 172, 174, 174, 176, 176, 269, 192, 196, 191, 196, 196, 196, 192, 191, 197, 196, 238, 196, 192, 191, 192, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 213, 215, 215, 213, 213, 213, 213, 213, 213, 215, 215, 225, 247, 219, 219, 230, 231, 233, 230, 230, 225, 232, 268, 232, 231, 230, 231, 232, 233, 234, 237, 237, 237, 238, 245, 244, 245, 244, 245, 244, 245, 269, 247, 269, 269, 269, 252, 252, 269, 265, 265, 256, 257, 272, 259, 272, 266, 272, 265, 266, 265, 266, 267, 268, 269, 270, 271, 272, 285, 280, 280, 278, 284, 278, 284, 280, 284, 284, 284, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
9;junit-4.12.3.odem;286;[-1.0,2.0,0.0,0.5,-1.5,-1.5,0.0,1.5,];[3, 9, 5, 6, 2, 2, 5, 8];60.53;20011;4727;13995835;[4, 16, 2, 11, 4, 11, 111, 14, 16, 14, 16, 11, 232, 16, 14, 16, 16, 232, 232, 22, 24, 23, 22, 23, 24, 25, 232, 232, 100, 43, 30, 31, 32, 33, 230, 43, 36, 44, 43, 39, 40, 60, 265, 43, 44, 105, 67, 278, 278, 56, 217, 67, 67, 67, 69, 242, 56, 242, 278, 67, 60, 62, 62, 67, 67, 105, 78, 67, 257, 69, 234, 78, 79, 73, 79, 234, 227, 78, 78, 79, 234, 121, 101, 93, 105, 103, 100, 100, 100, 98, 121, 93, 271, 93, 105, 121, 285, 105, 98, 101, 100, 101, 121, 103, 121, 105, 121, 271, 227, 253, 137, 111, 125, 253, 269, 269, 227, 125, 137, 266, 125, 121, 125, 125, 137, 125, 137, 133, 134, 135, 134, 133, 135, 133, 134, 135, 149, 137, 142, 149, 149, 149, 142, 149, 149, 149, 149, 149, 149, 149, 269, 157, 156, 157, 157, 157, 156, 157, 259, 166, 166, 164, 166, 167, 164, 166, 166, 167, 274, 172, 266, 172, 172, 173, 266, 176, 176, 177, 193, 186, 191, 181, 189, 196, 193, 191, 186, 189, 197, 189, 193, 191, 193, 193, 197, 197, 196, 197, 200, 200, 200, 202, 202, 215, 215, 215, 215, 215, 209, 209, 215, 215, 215, 215, 215, 215, 233, 217, 218, 230, 220, 231, 233, 230, 230, 233, 228, 227, 228, 231, 230, 231, 232, 233, 234, 257, 256, 242, 242, 245, 242, 245, 242, 245, 256, 245, 253, 253, 253, 253, 253, 252, 252, 253, 265, 265, 256, 257, 262, 259, 262, 266, 262, 265, 266, 265, 266, 269, 269, 269, 271, 271, 272, 273, 274, 284, 278, 284, 278, 284, 284, 283, 284, 283, 284, 285];[[true, true, false, true, true, false, false, false, false, true, true, false, true, true, false, false, false, false]]
