JHOTDRAW;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;a1;a2;a3;a4;a5;MOJO;;;;;;;;
1;-2,0;-0,5;-2,0;-0,5;2,0;67,6;;;;;;;;
2;-1,0;0,0;-1,0;-0,5;2,5;68,5;;;;;;;;
3;-1,5;0,0;-1,0;1,0;1,5;67,0;;;;;;;;
4;2,5;0,5;2,0;0,5;-2,5;67,0;;;;;;;;
5;-2,5;-0,5;-1,0;1,0;2,5;68,4;;;;;;;;
6;2,5;1,0;1,0;0,5;-2,0;66,4;;;;;;;;
7;-2,5;-2,5;-1,5;-2,5;-0,5;67,7;;;;;;;;
8;-2,5;-2,5;-1,0;-1,0;1,5;66,9;;;;;;;;
9;-2,0;-2,0;-1,5;0,5;1,5;66,8;;;;;;;;
10;-0,5;0,0;-2,0;0,0;2,0;66,7;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;n1;Número de dependências entre classes dentro do pacote;;;;;
;;;;;;;;n2;Número de dependências entre classes de pacotes diferentes;;;;;
;;;;;;;;n3;Número de classes com dependências dentro do pacote;;;;;
;;;;;;;;n4;Número de classes do pacote sob análise com dependências para classes de outro pacote;;;;;
;;;;;;;;n5;Número de classes de outro pacote com dependências para classes de um pacote sob análise;;;;;
;;;;;;;;;;;;;;
;b1;b2;b3;b4;b5;MOJO;;;;;;;;
1;-1,5;-1,0;-2,5;-1,5;-2,0;67,6;;;;;;;;
2;-2,5;0,0;-1,0;-2,0;-0,5;68,5;;;;;;;;
3;-2,0;-0,5;-0,5;-0,5;-2,5;67,0;;;;;;;;
4;2,5;0,5;0,0;1,5;2,0;67,0;;;;;;;;
5;-0,5;-0,5;-0,5;-0,5;-2,0;68,4;;;;;;;;
6;2,0;2,0;2,0;2,0;0,5;66,4;;;;;;;;
7;-1,0;-1,5;-1,0;-1,5;-2,0;67,7;;;;;;;;
8;-0,5;-1,0;0,0;-0,5;-1,5;66,9;;;;;;;;
9;-1,5;-1,5;0,0;-0,5;-1,5;66,8;;;;;;;;
10;0,0;-2,5;0,0;-1,0;-1,0;66,7;;;;;;;;
