cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster;metrics
0;junit-4.12.3.odem;286;[1.5,0.5,0.5,0.0,2.0,2.5,];[8,6,6,5,9,10];62.03;20005;10900;6974920;[284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,262,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,262,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,285,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,284,262,284,262,284,262,284,284,284,284,284,284,284,284,284,284,285,284,284,284,284,284,284,284,284,284,284,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
1;junit-4.12.3.odem;286;[-2.5,0.0,-0.5,0.0,-1.5,-2.5,];[0,5,4,5,2,0];60.53;20009;2938;6918890;[285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,283,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,285,283,285,285,283,285,285,285,285,283,285,285,285,285,285,285,283,283,283,285,283,283,285,283,283,283,283,285,285,283,285,285,283,283,285,283,285,285,285,283,285,283,285,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,285,285,285,285,285,285,285,285,285,285,285,283,285,283,283,283,283,283,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,283,283,285,283,283,283,283,283,285,285,285,283,283,283,285,283,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,285,285,285,285,285,285,285,285,285,285,285,285,283,285,283,285,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
2;junit-4.12.3.odem;286;[1.0,-1.0,0.0,0.0,1.5,1.0,];[7,3,5,5,8,7];60.53;20006;3967;6991030;[284,283,284,283,283,284,283,284,284,282,282,282,283,282,283,284,282,284,284,284,283,282,284,284,284,155,282,284,283,282,284,284,282,284,283,284,282,284,282,284,283,284,282,284,282,284,283,284,283,282,284,282,284,284,282,282,284,283,282,284,284,284,282,283,282,284,284,282,284,282,284,282,283,284,282,282,282,282,284,284,283,284,282,282,282,284,284,284,283,282,282,282,284,284,283,282,284,284,282,282,282,284,284,283,284,282,282,282,284,284,283,284,282,282,284,282,283,284,284,282,282,283,283,284,282,284,282,284,282,284,283,283,282,284,282,284,282,284,283,283,285,282,284,282,284,282,283,283,283,282,285,284,282,284,284,155,283,282,283,283,282,285,284,284,284,283,282,282,283,283,282,285,284,284,283,284,283,282,282,283,282,285,284,284,283,284,283,282,282,283,285,284,282,284,284,283,283,282,285,282,283,284,282,284,284,283,282,285,282,283,284,282,284,282,283,282,284,283,285,282,283,284,284,282,283,282,285,284,283,285,283,282,282,283,234,284,282,285,284,283,285,283,282,284,283,282,282,284,285,284,283,285,284,283,282,283,284,283,282,285,282,284,285,284,284,283,282,283,283,282,283,283,284,273,285,282,285,284,284,283,283,282,282,283,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
3;junit-4.12.3.odem;286;[1.5,-1.5,-2.0,0.0,1.5,2.5,];[8,2,1,5,8,10];62.03;20003;11015;7096961;[280,274,274,280,280,280,280,274,280,280,280,11,280,274,274,274,18,18,18,280,20,280,280,280,280,25,280,280,280,280,274,280,280,280,280,280,280,280,280,274,190,274,274,280,224,280,280,47,280,49,50,280,52,280,54,190,280,234,280,280,280,64,280,64,64,274,280,274,274,280,274,71,274,280,280,280,274,274,280,280,280,280,82,280,280,280,280,280,100,280,104,280,280,93,280,95,280,280,98,280,100,101,274,103,104,274,274,271,108,280,280,280,280,274,280,115,280,117,274,280,280,274,274,280,280,280,280,274,280,280,280,280,132,280,274,280,280,274,138,280,274,280,280,280,274,274,274,274,280,280,150,280,152,153,155,155,156,157,280,280,280,161,162,163,280,167,280,167,280,280,170,171,172,174,174,280,280,280,178,280,180,280,280,183,280,280,274,280,280,274,190,274,274,193,274,195,280,197,198,274,200,201,274,274,204,274,206,274,274,280,274,274,212,213,214,215,280,280,233,219,280,221,280,233,224,225,226,280,280,229,233,231,280,233,234,235,236,280,280,239,240,241,242,243,244,280,280,280,280,280,280,280,280,280,274,280,280,257,258,274,280,280,274,274,280,280,280,267,280,280,271,271,274,273,274,275,280,277,280,280,280,284,284,283,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
4;junit-4.12.3.odem;286;[-1.5,2.5,1.0,0.0,-1.0,1.5,];[2,10,7,5,3,8];59.4;20002;5264;6920622;[0,1,2,11,4,5,11,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
5;junit-4.12.3.odem;286;[1.5,0.5,0.5,0.0,2.0,2.5,];[8,6,6,5,9,10];62.03;20005;466;6661787;[240,274,274,263,285,263,263,264,285,264,145,263,279,180,263,147,279,285,279,263,279,263,264,263,274,25,279,279,263,145,180,147,285,240,274,263,145,240,263,180,147,263,274,263,145,180,240,147,264,274,217,240,240,240,274,240,264,240,264,263,263,145,180,263,240,147,274,180,145,274,147,274,180,145,147,274,274,149,180,145,240,264,99,180,274,180,147,88,88,149,263,145,107,245,263,263,285,285,180,99,180,274,263,147,149,145,180,107,285,274,147,263,117,149,145,180,285,117,274,264,147,274,123,123,149,145,180,147,149,145,180,274,147,149,148,180,145,149,147,148,152,274,274,180,274,145,146,147,148,149,156,223,152,263,223,223,156,223,279,263,180,279,263,263,279,263,223,263,180,180,174,180,180,223,174,285,274,264,223,223,180,181,223,196,223,185,263,263,274,189,240,274,223,263,240,263,196,197,223,240,240,202,202,274,204,208,206,207,208,274,263,272,212,213,214,215,216,217,218,219,263,279,222,223,279,263,264,263,228,279,279,279,263,263,240,235,236,237,238,240,240,241,242,243,244,245,246,247,248,249,250,252,252,253,263,263,263,257,272,279,272,264,272,263,264,265,266,267,268,269,270,271,272,273,274,279,278,277,278,279,284,281,282,283,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
6;junit-4.12.3.odem;286;[2.0,-2.0,-2.5,0.0,1.5,2.5,];[9,1,0,5,8,10];60.9;20008;17320;6662937;[285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,155,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,155,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,234,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,270,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
7;junit-4.12.3.odem;286;[0.5,-1.0,-1.5,0.0,1.5,2.5,];[6,3,2,5,8,10];62.41;20013;10047;6602157;[266,266,266,266,266,266,266,43,266,43,266,266,266,266,43,266,266,266,266,266,266,266,266,266,266,25,266,266,135,43,135,135,135,135,135,43,135,266,43,135,135,60,272,43,266,135,135,266,256,56,217,64,64,266,256,266,56,135,132,64,60,79,79,64,64,135,78,135,235,256,135,135,79,135,79,135,135,79,78,79,135,266,101,245,97,103,100,100,135,103,95,121,107,245,97,95,135,97,103,101,100,101,266,103,121,121,121,107,121,121,137,121,259,121,269,135,269,259,137,266,135,121,259,259,137,135,266,135,134,132,134,135,132,134,134,135,266,137,266,266,266,144,266,144,144,266,266,266,266,266,269,171,227,171,171,171,227,171,259,166,168,166,166,167,166,166,166,167,168,266,266,171,203,203,266,256,256,203,194,186,192,203,203,196,192,192,186,203,203,203,194,192,192,193,194,203,196,203,200,200,200,202,202,203,215,215,209,215,209,209,215,215,215,215,215,215,225,217,237,237,237,237,256,237,237,225,232,227,232,237,237,237,232,256,234,235,256,237,266,245,266,245,266,245,266,245,253,253,253,253,253,252,252,253,272,272,256,257,272,259,266,266,272,282,266,272,266,269,269,269,270,271,272,285,282,284,282,284,282,284,284,284,282,284,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
8;junit-4.12.3.odem;286;[-1.0,-0.5,2.5,0.0,-2.5,1.0,];[3,4,10,5,0,7];60.53;20004;3492;6570361;[285,285,285,285,285,285,272,285,285,285,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,285,272,272,285,272,272,285,285,272,285,272,272,272,285,285,285,285,272,285,285,285,272,285,272,285,285,285,285,285,285,285,285,285,272,285,285,285,285,285,272,285,285,285,285,285,285,272,272,285,272,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,272,272,272,272,272,285,272,285,285,285,272,285,285,285,285,285,272,285,272,272,285,285,285,285,272,285,285,285,285,285,285,285,285,272,285,285,272,285,272,285,285,285,285,285,285,285,285,285,285,285,285,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
9;junit-4.12.3.odem;286;[1.5,-1.5,-2.0,0.0,0.5,1.0,];[8,2,1,5,6,7];60.15;20010;6337;6554347;[267,1,2,11,267,11,272,14,8,267,11,11,267,267,14,15,18,18,18,267,267,267,267,267,267,25,26,119,267,43,30,31,207,168,251,43,36,251,43,267,40,272,267,43,251,192,267,192,192,177,267,267,267,53,192,192,177,267,192,267,272,267,267,267,267,267,66,267,267,267,267,71,215,267,74,75,76,192,267,280,80,267,82,267,267,267,267,267,267,267,267,267,267,267,267,267,267,97,267,267,267,267,106,267,267,106,106,267,108,253,267,111,119,251,267,115,267,119,267,119,120,267,267,267,267,267,267,127,128,129,130,131,132,133,134,231,136,267,267,139,140,141,267,143,267,267,267,267,267,149,267,267,267,267,267,155,267,267,267,267,267,267,267,267,267,267,267,267,168,267,267,267,267,267,267,267,267,177,192,201,180,192,192,201,192,185,267,201,188,267,192,191,192,193,267,195,201,197,267,267,267,201,267,203,207,215,206,207,215,209,215,215,215,215,215,215,267,247,251,231,268,231,251,251,251,267,267,268,267,231,251,231,267,251,234,267,236,237,267,267,240,267,242,267,244,267,269,247,269,269,250,251,252,253,267,267,256,257,272,259,272,267,272,263,267,267,267,267,268,269,270,271,272,273,274,280,280,280,280,280,280,284,284,284,284,285];[[true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false]]
