versions	packages	classes	attrs	meths	pmeths
2.3.2	org.gjt.sp.sim	ConsoleInstall	1	2	1
2.3.2	org.gjt.sp.sim	InstallThread	1	5	4
2.3.2	org.gjt.sp.sim	OperatingSystem$HalfAnOS	2	3	3
2.3.2	org.gjt.sp.sim	OperatingSystem$MacOS	2	3	3
2.3.2	org.gjt.sp.sim	OperatingSystem$Unix	2	4	4
2.3.2	org.gjt.sp.sim	OperatingSystem$Windows	2	4	4
2.3.2	org.gjt.sp.sim	OperatingSystem	2	6	6
2.3.2	org.gjt.sp.sim	Progress	1	6	6
2.3.2	org.gjt.sp.sim	SIMInstaller	1	3	3
2.3.2	org.gjt.sp.sim	SwingInstall$About	2	1	0
2.3.2	org.gjt.sp.sim	SwingInstall$ChooseDirectory	2	2	1
2.3.2	org.gjt.sp.sim	SwingInstall$SelectComponents	2	5	1
2.3.2	org.gjt.sp.sim	SwingInstall$WindowHandler	2	2	1
2.3.2	org.gjt.sp.sim	SwingInstall	2	6	3
2.3.2	org.gjt.sp.sim	SwingProgress$1	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress$2	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress$3	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress$4	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress$5	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress$6	2	3	1
2.3.2	org.gjt.sp.sim	SwingProgress	1	12	9
2.3.2	org.gjt.sp.sim	ConsoleProgress	1	7	7
2.6.f	org	Archive$EntryInputStream	2	4	3
2.6.f	org	Archive	2	14	6
2.6.f	org	ConsoleInstall	1	2	1
2.6.f	org	ConsoleProgress	1	6	6
2.6.f	org	InstallThread	1	4	3
2.6.f	org	OperatingSystem$HalfAnOS	2	3	3
2.6.f	org	OperatingSystem$MacOS	2	3	3
2.6.f	org	OperatingSystem$MacOSX	2	3	3
2.6.f	org	OperatingSystem$Unix	2	6	6
2.6.f	org	OperatingSystem$Windows	2	3	3
2.6.f	org	OperatingSystem	2	6	6
2.6.f	org	Progress	1	5	5
2.6.f	org	SwingInstall$About	2	1	0
2.6.f	org	SwingInstall$ChooseDirectory	2	2	1
2.6.f	org	SwingInstall$InstallWizard	2	3	0
2.6.f	org	SwingInstall$SelectComponents	2	4	1
2.6.f	org	SwingInstall$WindowHandler	2	2	1
2.6.f	org	SwingInstall	2	5	1
2.6.f	org	SwingProgress$1	2	3	1
2.6.f	org	SwingProgress$2	2	3	1
2.6.f	org	SwingProgress$3	2	3	1
2.6.f	org	SwingProgress$4	2	3	1
2.6.f	org	SwingProgress$5	2	3	1
2.6.f	org	SwingProgress	1	11	8
2.6.f	org	Wizard$ActionHandler	2	2	1
2.6.f	org	Wizard$WizardLayout	2	6	5
2.6.f	org	Wizard	2	15	2
3.0.0	gnu.regexp	RESyntax	1	5	4
3.0.0	gnu.regexp	CharIndexed	1	3	3
3.0.0	gnu.regexp	REMatch	1	11	7
3.0.0	gnu.regexp	REToken	1	9	0
3.0.0	gnu.regexp	REException	1	4	3
3.0.0	gnu.regexp	RETokenChar	1	5	0
3.0.0	gnu.regexp	RETokenRange	1	4	0
3.0.0	gnu.regexp	RETokenPOSIX	1	6	0
3.0.0	gnu.regexp	RETokenOneOf	1	6	0
3.0.0	gnu.regexp	RE	1	43	26
3.0.0	gnu.regexp	CharUnit	1	1	0
3.0.0	gnu.regexp	IntPair	1	1	0
3.0.0	gnu.regexp	REMatchEnumeration	1	6	5
3.0.0	gnu.regexp	RETokenStart	1	3	0
3.0.0	gnu.regexp	RETokenEnd	1	3	0
3.0.0	gnu.regexp	RETokenAny	1	4	0
3.0.0	gnu.regexp	RETokenRepeated	1	5	0
3.0.0	gnu.regexp	RETokenBackRef	1	3	0
3.0.0	gnu.regexp	CharIndexedString	1	4	3
3.0.0	gnu.regexp	CharIndexedCharArray	1	4	3
3.0.0	gnu.regexp	CharIndexedStringBuffer	1	4	3
3.0.0	gnu.regexp	CharIndexedInputStream	1	5	3
3.0.0	gnu.regexp	CharIndexedSegment	1	4	3
3.0.0	bsh	XThis	2	6	3
3.0.0	bsh	XTargetErrorPrinter	1	2	1
3.0.0	bsh	XThis$Handler	2	2	1
3.0.0	bsh	ASCII_UCodeESC_CharStream	1	27	21
3.0.0	bsh	Node	1	7	7
3.0.0	bsh	SimpleNode	1	13	13
3.0.0	bsh	BSHAllocationExpression	1	5	1
3.0.0	bsh	BSHPrimitiveType	1	2	1
3.0.0	bsh	BSHArrayDimensions	1	4	3
3.0.0	bsh	BSHArguments	1	2	1
3.0.0	bsh	BSHAmbiguousName	1	6	5
3.0.0	bsh	Token	1	3	2
3.0.0	bsh	EvalError	1	5	5
3.0.0	bsh	InterpreterConstants	1	1	0
3.0.0	bsh	InterpreterTreeConstants	1	1	0
3.0.0	bsh	Interpreter	2	349	106
3.0.0	bsh	Interpreter$1	2	3	1
3.0.0	bsh	Interpreter$JJCalls	2	1	0
3.0.0	bsh	NameSpace	2	38	28
3.0.0	bsh	NameSpace$TypedVariable	2	4	0
3.0.0	bsh	BshMethod	1	3	3
3.0.0	bsh	This	1	8	5
3.0.0	bsh	JJTInterpreterState	1	12	0
3.0.0	bsh	ParseException	1	6	5
3.0.0	bsh	File	1	4	3
3.0.0	bsh	InterpreterTokenManager	1	50	6
3.0.0	bsh	ConsoleInterface	1	6	6
3.0.0	bsh	LHS	1	8	3
3.0.0	bsh	Name	2	17	9
3.0.0	bsh	Name$ClassIdentifier	2	3	3
3.0.0	bsh	ReflectError	1	2	2
3.0.0	bsh	BSHMethodDeclaration	1	3	2
3.0.0	bsh	BSHBlock	1	2	1
3.0.0	bsh	BSHFormalParameters	1	2	1
3.0.0	bsh	TargetErrorPrinter	1	1	1
3.0.0	bsh	TargetError	1	8	8
3.0.0	bsh	Reflect	1	31	12
3.0.0	bsh	Primitive	2	40	25
3.0.0	bsh	Primitive$Special	2	2	0
3.0.0	bsh	BSHArrayInitializer	1	3	2
3.0.0	bsh	InterpreterError	1	1	1
3.0.0	bsh	CommandLineReader	1	4	4
3.0.0	bsh	TokenMgrError	1	6	4
3.0.0	bsh	ReturnControl	1	1	1
3.0.0	bsh	BSHImportDeclaration	1	2	1
3.0.0	bsh	BSHVariableDeclarator	1	2	1
3.0.0	bsh	BSHFormalParameter	1	2	1
3.0.0	bsh	BSHType	1	3	2
3.0.0	bsh	BSHReturnType	1	2	1
3.0.0	bsh	BSHAssignment	1	3	1
3.0.0	bsh	BSHTernaryExpression	1	2	1
3.0.0	bsh	BSHBinaryExpression	1	5	2
3.0.0	bsh	BSHUnaryExpression	1	5	1
3.0.0	bsh	BSHCastExpression	1	3	2
3.0.0	bsh	BSHPrimaryExpression	1	2	1
3.0.0	bsh	BSHMethodInvocation	1	2	1
3.0.0	bsh	BSHPrimarySuffix	1	5	1
3.0.0	bsh	BSHLHSPrimaryExpression	1	2	1
3.0.0	bsh	BSHLHSPrimarySuffix	1	5	1
3.0.0	bsh	BSHLiteral	1	5	3
3.0.0	bsh	BSHIfStatement	1	3	2
3.0.0	bsh	BSHWhileStatement	1	2	1
3.0.0	bsh	BSHForStatement	1	2	1
3.0.0	bsh	BSHTypedVariableDeclaration	1	2	1
3.0.0	bsh	BSHStatementExpressionList	1	2	1
3.0.0	bsh	BSHReturnStatement	1	2	1
3.0.0	bsh	BSHThrowStatement	1	2	1
3.0.0	bsh	BSHTryStatement	1	2	1
3.0.0	bsh	ForBodyNameSpace	1	5	4
3.0.0	bsh	BSHArrayType	1	1	0
3.0.0	bsh	JThis	1	87	84
3.0.0	com.microstar.xml	XmlException	1	5	5
3.0.0	com.microstar.xml	XmlHandler	1	13	13
3.0.0	com.microstar.xml	HandlerBase	1	14	14
3.0.0	com.microstar.xml	XmlParser	1	118	27
3.0.0	org.gjt.sp.jedit	Abbrevs	2	16	8
3.0.0	org.gjt.sp.jedit	MiscUtilities	2	28	24
3.0.0	org.gjt.sp.jedit	View	2	56	39
3.0.0	org.gjt.sp.jedit	Abbrevs$Expansion	2	2	2
3.0.0	org.gjt.sp.jedit	MiscUtilities$StringCompare	2	2	2
3.0.0	org.gjt.sp.jedit	MiscUtilities$StringICaseCompare	2	2	2
3.0.0	org.gjt.sp.jedit	MiscUtilities$VersionCompare	2	2	2
3.0.0	org.gjt.sp.jedit	MiscUtilities$Compare	2	1	1
3.0.0	org.gjt.sp.jedit	EBComponent	1	1	1
3.0.0	org.gjt.sp.jedit	View$1	2	3	1
3.0.0	org.gjt.sp.jedit	View$2	2	3	1
3.0.0	org.gjt.sp.jedit	View$3	2	3	1
3.0.0	org.gjt.sp.jedit	View$4	2	3	1
3.0.0	org.gjt.sp.jedit	View$5	2	3	1
3.0.0	org.gjt.sp.jedit	View$6	2	3	1
3.0.0	org.gjt.sp.jedit	View$7	2	3	1
3.0.0	org.gjt.sp.jedit	View$MenuItemCompare	2	2	1
3.0.0	org.gjt.sp.jedit	View$FocusHandler	2	2	1
3.0.0	org.gjt.sp.jedit	View$WindowHandler	2	3	2
3.0.0	org.gjt.sp.jedit	EditPane	2	22	12
3.0.0	org.gjt.sp.jedit	EditPane$1	2	3	1
3.0.0	org.gjt.sp.jedit	EditPane$2	2	3	1
3.0.0	org.gjt.sp.jedit	EditPane$CaretHandler	2	2	1
3.0.0	org.gjt.sp.jedit	Macros	2	23	15
3.0.0	org.gjt.sp.jedit	Macros$1	2	3	1
3.0.0	org.gjt.sp.jedit	Macros$Macro	2	2	2
3.0.0	org.gjt.sp.jedit	Macros$MacrosEBComponent	2	3	1
3.0.0	org.gjt.sp.jedit	Macros$Recorder	2	8	5
3.0.0	org.gjt.sp.jedit	EditBus	1	11	8
3.0.0	org.gjt.sp.jedit	Buffer	2	97	64
3.0.0	org.gjt.sp.jedit	Buffer$1	2	3	1
3.0.0	org.gjt.sp.jedit	Buffer$2	2	3	1
3.0.0	org.gjt.sp.jedit	Buffer$3	2	3	1
3.0.0	org.gjt.sp.jedit	Buffer$4	2	3	1
3.0.0	org.gjt.sp.jedit	Buffer$PrintTabExpander	2	2	2
3.0.0	org.gjt.sp.jedit	Buffer$BufferProps	2	2	1
3.0.0	org.gjt.sp.jedit	Buffer$MyUndoManager	2	3	2
3.0.0	org.gjt.sp.jedit	Buffer$UndoHandler	2	2	1
3.0.0	org.gjt.sp.jedit	Buffer$DocumentHandler	2	4	3
3.0.0	org.gjt.sp.jedit	jEdit	2	96	72
3.0.0	org.gjt.sp.jedit	jEdit$1	2	3	1
3.0.0	org.gjt.sp.jedit	jEdit$ModeCompare	2	2	1
3.0.0	org.gjt.sp.jedit	jEdit$GotoMarkerSafely	2	2	1
3.0.0	org.gjt.sp.jedit	EBMessage	2	6	6
3.0.0	org.gjt.sp.jedit	EBMessage$NonVetoable	2	2	2
3.0.0	org.gjt.sp.jedit	EditServer	1	10	2
3.0.0	org.gjt.sp.jedit	EditServer$1	2	3	1
3.0.0	org.gjt.sp.jedit	EditServer$2	2	3	1
3.0.0	org.gjt.sp.jedit	EditServer$3	2	3	1
3.0.0	org.gjt.sp.jedit	EditServer$4	2	3	1
3.0.0	org.gjt.sp.jedit	EditServer$5	2	3	1
3.0.0	org.gjt.sp.jedit	EditPlugin	2	7	7
3.0.0	org.gjt.sp.jedit	EditPlugin$Broken	2	2	1
3.0.0	org.gjt.sp.jedit	EditPlugin$JAR	2	7	6
3.0.0	org.gjt.sp.jedit	TextUtilities	1	9	9
3.0.0	org.gjt.sp.jedit	Marker	1	5	5
3.0.0	org.gjt.sp.jedit	Mode	1	12	12
3.0.0	org.gjt.sp.jedit	EditAction	2	12	12
3.0.0	org.gjt.sp.jedit	EditAction$Wrapper	2	2	2
3.0.0	org.gjt.sp.jedit	GUIUtilities	2	40	35
3.0.0	org.gjt.sp.jedit	GUIUtilities$1	2	3	1
3.0.0	org.gjt.sp.jedit	GUIUtilities$UnixWorkaround	2	1	0
3.0.0	org.gjt.sp.jedit	GUIUtilities$UnixWorkaround$ComponentHandler	2	3	2
3.0.0	org.gjt.sp.jedit	GUIUtilities$UnixWorkaround$WindowHandler	2	2	1
3.0.0	org.gjt.sp.jedit	JARClassLoader	1	14	8
3.0.0	org.gjt.sp.jedit	OptionPane	1	4	4
3.0.0	org.gjt.sp.jedit	BeanShell	1	12	10
3.0.0	org.gjt.sp.jedit	OptionGroup	1	9	9
