versions	packages	classes	attrs	meths	pmeths
2.00.0	junit.extensions	ActiveTest$1	2	2	1
2.00.0	junit.extensions	ActiveTest	2	3	3
2.00.0	junit.extensions	RepeatedTest	1	4	4
2.00.0	junit.extensions	TestDecorator	1	4	4
2.00.0	junit.extensions	TestSetup	1	4	2
2.00.0	junit.framework	AssertionFailedError	1	2	2
2.00.0	junit.framework	Test	1	2	2
2.00.0	junit.framework	TestCase	1	25	18
2.00.0	junit.framework	TestFailure	1	4	4
2.00.0	junit.framework	TestResult	1	14	13
2.00.0	junit.framework	TestSuite$1	2	2	0
2.00.0	junit.framework	TestSuite	2	8	5
2.00.0	junit.textui	TestRunner	1	7	4
2.00.0	junit.textui	TextTestResult	1	9	8
2.00.0	junit.ui	AboutDialog$1	2	2	1
2.00.0	junit.ui	AboutDialog$2	2	2	1
2.00.0	junit.ui	AboutDialog	2	1	1
2.00.0	junit.ui	LoadingTestRunner	1	5	3
2.00.0	junit.ui	Logo	1	4	4
2.00.0	junit.ui	TestCaseClassLoader	1	8	4
2.00.0	junit.ui	TestRunner$1	2	2	1
2.00.0	junit.ui	TestRunner$10	2	2	1
2.00.0	junit.ui	TestRunner$11	2	2	1
2.00.0	junit.ui	TestRunner$12	2	2	1
2.00.0	junit.ui	TestRunner$2	2	2	1
2.00.0	junit.ui	TestRunner$3	2	2	1
2.00.0	junit.ui	TestRunner$4	2	2	1
2.00.0	junit.ui	TestRunner$5	2	2	1
2.00.0	junit.ui	TestRunner$6	2	2	1
2.00.0	junit.ui	TestRunner$7	2	2	1
2.00.0	junit.ui	TestRunner$8	2	2	1
2.00.0	junit.ui	TestRunner$9	2	2	1
2.00.0	junit.ui	TestRunner	2	44	11
2.00.0	junit.ui	TestStatus	1	11	9
2.00.0	junit.ui	TraceFrame$1	2	2	1
2.00.0	junit.ui	TraceFrame$2	2	2	1
2.00.0	junit.ui	TraceFrame	2	3	2
2.00.0	junit.ui	UITestResult	1	5	4
2.01.0	junit.extensions	ActiveTest$1	2	2	1
2.01.0	junit.extensions	ActiveTest	2	3	3
2.01.0	junit.extensions	RepeatedTest	1	4	4
2.01.0	junit.extensions	TestDecorator	1	4	4
2.01.0	junit.extensions	TestSetup	1	4	2
2.01.0	junit.framework	AssertionFailedError	1	2	2
2.01.0	junit.framework	Test	1	2	2
2.01.0	junit.framework	TestCase	1	31	23
2.01.0	junit.framework	TestFailure	1	4	4
2.01.0	junit.framework	TestResult	1	14	13
2.01.0	junit.framework	TestSuite$1	2	2	0
2.01.0	junit.framework	TestSuite	2	8	5
2.01.0	junit.textui	TestRunner	1	8	4
2.01.0	junit.textui	TextTestResult	1	9	8
2.01.0	junit.ui	AboutDialog$1	2	2	1
2.01.0	junit.ui	AboutDialog$2	2	2	1
2.01.0	junit.ui	AboutDialog	2	1	1
2.01.0	junit.ui	LoadingTestRunner	1	5	3
2.01.0	junit.ui	Logo	1	4	4
2.01.0	junit.ui	ProgressBar	1	11	9
2.01.0	junit.ui	TestCaseClassLoader	1	8	4
2.01.0	junit.ui	TestRunner$1	2	2	1
2.01.0	junit.ui	TestRunner$10	2	2	1
2.01.0	junit.ui	TestRunner$11	2	2	1
