versions	packages	classes	attrs	meths	pmeths
jhotdraw-5.2.0.jar	CH.ifa.draw.applet	DrawApplet$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.applet	DrawApplet$2	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.applet	DrawApplet$3	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.applet	DrawApplet	2	37	9
jhotdraw-5.2.0.jar	CH.ifa.draw.applet	SleeperThread	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$2	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$3	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$4	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$5	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$6	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$7	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$8	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication$9	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.application	DrawApplication	2	61	24
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	ChopPolygonConnector	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	CustomSelectionTool	1	11	4
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	CustomToolBar	1	6	6
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	DiamondFigure	1	6	5
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	GraphicalCompositeFigure	1	21	18
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	Layoutable	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	Layouter	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	MDI_DrawApplication	1	23	17
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	MDI_InternalFrame	1	12	11
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PolygonFigure$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PolygonFigure	2	34	34
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PolygonHandle	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PolygonScaleHandle	1	7	6
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PolygonTool	1	8	7
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	PopupMenuFigureSelection	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	SplitPaneDrawApplication	1	10	4
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	StandardLayouter	1	10	10
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	TriangleFigure	1	14	13
jhotdraw-5.2.0.jar	CH.ifa.draw.contrib	TriangleRotationHandle	1	7	6
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	AbstractLineDecoration	1	9	9
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ArrowTip	1	13	5
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	AttributeFigure	1	14	8
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	BorderDecorator	1	9	8
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	BorderTool	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ChopEllipseConnector	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ConnectedTextTool	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ElbowConnection	1	6	5
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ElbowHandle	1	9	5
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ElbowTextLocator	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	EllipseFigure	1	12	11
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	FigureAttributes	1	9	9
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	FontSizeHandle	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	GroupCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	GroupFigure	1	7	7
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	GroupHandle	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ImageFigure	1	12	9
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	InsertImageCommand	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	LineConnection	1	34	30
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	LineDecoration	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	LineFigure	1	7	7
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	NumberTextFigure	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	PolyLineConnector	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	PolyLineFigure	1	34	29
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	PolyLineHandle	1	4	3
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	PolyLineLocator	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	RadiusHandle	1	5	5
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	RectangleFigure	1	10	9
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	RoundRectangleFigure	1	14	13
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ScribbleTool	1	6	5
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	ShortestDistanceConnector	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	TextFigure	1	39	33
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	TextTool	1	12	7
jhotdraw-5.2.0.jar	CH.ifa.draw.figures	UngroupCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	ConnectionFigure	1	18	18
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Connector	1	6	6
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Drawing	1	27	27
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	DrawingChangeEvent	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	DrawingChangeListener	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	DrawingEditor	1	6	6
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	DrawingView	1	40	40
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Figure	1	32	32
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	FigureChangeEvent	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	FigureChangeListener	1	5	5
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	FigureEnumeration	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	FigureSelection	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Handle	1	11	11
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	HJDError	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Locator	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Painter	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	PointConstrainer	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.framework	Tool	1	7	7
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	AnimationDecorator	1	10	10
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	Animator	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	BouncingDrawing	1	5	5
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	FollowURLTool	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApp$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApp$2	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApp$3	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApp$4	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApp	2	15	5
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApplet$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawApplet	2	8	5
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	JavaDrawViewer	1	8	7
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	MySelectionTool	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	PatternPainter	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	URLTool$1	2	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.javadraw	URLTool	2	10	5
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.net	NetApp	1	3	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.net	NodeFigure	1	13	7
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.nothing	NothingApp	1	3	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.nothing	NothingApplet	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.pert	PertApplet	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.pert	PertApplication	1	3	1
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.pert	PertDependency	1	5	5
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.pert	PertFigure	1	32	24
jhotdraw-5.2.0.jar	CH.ifa.draw.samples.pert	PertFigureCreationTool	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AbstractConnector	1	11	10
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AbstractFigure	1	36	34
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AbstractHandle	1	12	12
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AbstractLocator	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AbstractTool	1	11	11
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ActionTool	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	AlignCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	BoxHandleKit	1	11	11
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	BringToFrontCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	BufferedUpdateStrategy	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ChangeAttributeCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ChangeConnectionEndHandle	1	6	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ChangeConnectionHandle	1	13	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ChangeConnectionStartHandle	1	6	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ChopBoxConnector	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	CompositeFigure	1	33	30
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ConnectionHandle	1	10	5
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ConnectionTool	1	18	6
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	CopyCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	CreationTool	1	8	5
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	CutCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	DecoratorFigure	1	32	29
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	DeleteCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	DragTracker	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	DuplicateCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	EastHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	FigureChangeAdapter	1	6	6
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	FigureChangeEventMulticaster	1	11	8
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	FigureEnumerator	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	FigureTransferCommand	1	4	0
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	GridConstrainer	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	HandleTracker	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	LocatorConnector	1	8	7
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	LocatorHandle	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	NorthEastHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	NorthHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	NorthWestHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	NullHandle	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	OffsetLocator	1	7	7
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	PasteCommand	1	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	RelativeLocator	1	14	14
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ReverseFigureEnumerator	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SelectAreaTracker	1	8	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SelectionTool	1	7	4
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SendToBackCommand	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SimpleUpdateStrategy	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SouthEastHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SouthHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	SouthWestHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	StandardDrawing	1	14	13
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	StandardDrawingView	1	61	53
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	TextHolder	1	7	7
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ToggleGridCommand	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	ToolButton	1	9	9
jhotdraw-5.2.0.jar	CH.ifa.draw.standard	WestHandle	1	2	1
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Animatable	1	1	1
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Clipboard	1	5	3
jhotdraw-5.2.0.jar	CH.ifa.draw.util	ColorEntry	1	1	0
jhotdraw-5.2.0.jar	CH.ifa.draw.util	ColorMap	1	8	7
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Command	1	4	4
jhotdraw-5.2.0.jar	CH.ifa.draw.util	CommandButton	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.util	CommandChoice	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.util	CommandMenu	1	8	8
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Filler	1	5	5
jhotdraw-5.2.0.jar	CH.ifa.draw.util	FloatingTextField	1	9	9
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Geom	1	16	15
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Iconkit	1	10	8
jhotdraw-5.2.0.jar	CH.ifa.draw.util	PaletteButton	1	12	12
jhotdraw-5.2.0.jar	CH.ifa.draw.util	PaletteIcon	1	6	6
jhotdraw-5.2.0.jar	CH.ifa.draw.util	PaletteLayout	1	8	8
jhotdraw-5.2.0.jar	CH.ifa.draw.util	PaletteListener	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.util	ReverseVectorEnumerator	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.util	SerializationStorageFormat	1	5	4
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StandardStorageFormat$1	2	3	2
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StandardStorageFormat	2	16	11
jhotdraw-5.2.0.jar	CH.ifa.draw.util	Storable	1	2	2
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StorableInput	1	10	7
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StorableOutput	1	15	8
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StorageFormat	1	3	3
jhotdraw-5.2.0.jar	CH.ifa.draw.util	StorageFormatManager	1	8	8
jhotdraw-5.3.0.jar	CH.ifa.draw.applet	DrawApplet$1	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.applet	DrawApplet$2	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.applet	DrawApplet$3	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.applet	DrawApplet	1	46	15
jhotdraw-5.3.0.jar	CH.ifa.draw.applet	SleeperThread	0	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$1	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$2	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$3	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$4	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$5	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$6	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$7	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$8	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication$9	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.application	DrawApplication	1	75	28
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	AutoscrollHelper	0	8	8
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	ChopDiamondConnector	0	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	ChopPolygonConnector	0	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	CustomSelectionTool	0	11	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	CustomToolBar	0	6	6
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	DiamondFigure	0	8	7
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	DNDInterface	0	5	5
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	DragNDropTool$MyTransferable	1	4	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	DragNDropTool	1	30	21
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	GraphicalCompositeFigure	0	21	18
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	Layoutable	0	3	3
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	Layouter	0	4	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	MDIDesktopManager	0	7	5
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	MDIDesktopPane	0	9	7
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	MDI_DrawApplication	0	28	19
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	MDI_InternalFrame	0	11	10
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonFigure$1	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonFigure	1	35	34
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonHandle$UndoActivity	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonHandle	1	7	5
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonScaleHandle$UndoActivity	1	6	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonScaleHandle	1	8	6
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PolygonTool	1	11	7
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	PopupMenuFigureSelection	0	2	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	SplitPaneDrawApplication	0	10	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	StandardLayouter	0	10	10
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	TriangleFigure	0	15	14
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	TriangleRotationHandle$UndoActivity	1	6	4
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	TriangleRotationHandle	1	8	6
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu$1	1	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu$2	1	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu$3	1	4	3
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu$4	1	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu$ChildMenuItem	1	2	2
jhotdraw-5.3.0.jar	CH.ifa.draw.contrib	WindowMenu	1	4	1
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	AbstractLineDecoration	0	9	9
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ArrowTip	0	13	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	AttributeFigure	0	14	8
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	BorderDecorator	0	9	8
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	BorderTool$UndoActivity	1	4	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	BorderTool	1	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ChopEllipseConnector	0	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ConnectedTextTool$UndoActivity	1	5	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ConnectedTextTool	1	4	3
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ElbowConnection	0	6	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ElbowHandle	0	9	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ElbowTextLocator	0	2	1
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	EllipseFigure	0	12	11
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	FigureAttributes	0	9	9
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	FontSizeHandle$UndoActivity	1	9	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	FontSizeHandle	1	6	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	GroupCommand$UndoActivity	1	4	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	GroupCommand	1	4	3
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	GroupFigure	0	7	7
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	GroupHandle	0	2	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ImageFigure	0	13	10
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	InsertImageCommand$UndoActivity	1	6	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	InsertImageCommand	1	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	LineConnection	0	36	30
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	LineDecoration	0	1	1
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	LineFigure	0	7	7
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	NumberTextFigure	0	4	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	PolyLineConnector	0	3	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	PolyLineFigure	0	34	29
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	PolyLineHandle$UndoActivity	1	8	7
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	PolyLineHandle	1	6	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	PolyLineLocator	0	2	2
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	RadiusHandle$UndoActivity	1	6	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	RadiusHandle	1	7	6
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	RectangleFigure	0	10	9
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	RoundRectangleFigure	0	14	13
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ScribbleTool	1	9	5
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	ShortestDistanceConnector	0	5	4
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	TextFigure	0	39	33
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	TextTool$UndoActivity	1	9	7
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	TextTool	1	13	7
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	UngroupCommand$UndoActivity	1	4	3
jhotdraw-5.3.0.jar	CH.ifa.draw.figures	UngroupCommand	1	4	3
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	ConnectionFigure	0	20	20
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	Connector	0	6	6
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	Drawing	0	39	39
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	DrawingChangeEvent	0	3	3
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	DrawingChangeListener	0	2	2
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	DrawingEditor	0	9	9
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	DrawingView	0	49	49
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	Figure	0	34	34
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	FigureChangeEvent	0	5	4
jhotdraw-5.3.0.jar	CH.ifa.draw.framework	FigureChangeListener	0	5	5
