versions	packages	classes	attrs	meths	pmeths
junit-3.4.0.jar	junit.awtui	AboutDialog	2	1	1
junit-3.4.0.jar	junit.awtui	AboutDialog$1	2	2	1
junit-3.4.0.jar	junit.awtui	AboutDialog$2	2	2	1
junit-3.4.0.jar	junit.awtui	Logo	1	5	4
junit-3.4.0.jar	junit.awtui	ProgressBar	1	11	9
junit-3.4.0.jar	junit.awtui	TestRunner	2	36	14
junit-3.4.0.jar	junit.awtui	TestRunner$1	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$2	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$3	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$4	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$5	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$6	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$7	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$8	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$9	2	2	1
junit-3.4.0.jar	junit.awtui	TestRunner$10	2	2	1
junit-3.4.0.jar	junit.extensions	ActiveTestSuite	2	5	4
junit-3.4.0.jar	junit.extensions	ActiveTestSuite$1	2	2	1
junit-3.4.0.jar	junit.extensions	ExceptionTestCase	1	2	1
junit-3.4.0.jar	junit.extensions	RepeatedTest	1	4	4
junit-3.4.0.jar	junit.extensions	TestDecorator	1	6	5
junit-3.4.0.jar	junit.extensions	TestSetup	2	4	2
junit-3.4.0.jar	junit.extensions	TestSetup$1	2	2	1
junit-3.4.0.jar	junit.framework	Assert	1	19	16
junit-3.4.0.jar	junit.framework	AssertionFailedError	1	2	2
junit-3.4.0.jar	junit.framework	Protectable	1	1	1
junit-3.4.0.jar	junit.framework	Test	1	2	2
junit-3.4.0.jar	junit.framework	TestCase	1	11	7
junit-3.4.0.jar	junit.framework	TestFailure	1	4	4
junit-3.4.0.jar	junit.framework	TestListener	1	4	4
junit-3.4.0.jar	junit.framework	TestResult	2	20	18
junit-3.4.0.jar	junit.framework	TestResult$1	2	2	1
junit-3.4.0.jar	junit.framework	TestSuite	2	17	11
junit-3.4.0.jar	junit.framework	TestSuite$1	2	2	0
junit-3.4.0.jar	junit.runner	BaseTestRunner	1	19	11
junit-3.4.0.jar	junit.runner	ReloadingTestSuiteLoader	1	3	3
junit-3.4.0.jar	junit.runner	StandardTestSuiteLoader	1	3	3
junit-3.4.0.jar	junit.runner	TestCaseClassLoader	1	13	5
junit-3.4.0.jar	junit.runner	TestSuiteLoader	1	2	2
junit-3.4.0.jar	junit.runner	Version	1	2	1
junit-3.4.0.jar	junit.swingui	AboutDialog	2	3	1
junit-3.4.0.jar	junit.swingui	AboutDialog$1	2	2	1
junit-3.4.0.jar	junit.swingui	AboutDialog$2	2	2	1
junit-3.4.0.jar	junit.swingui	ProgressBar	1	11	9
junit-3.4.0.jar	junit.swingui	TestBrowser	2	13	10
junit-3.4.0.jar	junit.swingui	TestBrowser$TestTreeCellRenderer	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$1	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$2	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$3	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$4	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$5	2	2	1
junit-3.4.0.jar	junit.swingui	TestBrowser$6	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner	2	86	16
junit-3.4.0.jar	junit.swingui	TestRunner$FailureListCellRenderer	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$1	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$2	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$3	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$4	2	2	0
junit-3.4.0.jar	junit.swingui	TestRunner$5	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$6	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$7	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$8	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$9	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$10	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$11	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$12	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$13	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$14	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$15	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$16	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$17	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$18	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$19	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$20	2	2	1
junit-3.4.0.jar	junit.swingui	TestRunner$21	2	2	1
junit-3.4.0.jar	junit.swingui	TestTreeModel	1	19	11
junit-3.4.0.jar	junit.textui	TestRunner	1	19	14
junit-3.4.0.jar	junit.ui	TestRunner	2	2	2
junit-3.5.0.jar	junit.awtui	AboutDialog	2	1	1
junit-3.5.0.jar	junit.awtui	AboutDialog$1	2	2	1
junit-3.5.0.jar	junit.awtui	AboutDialog$2	2	2	1
junit-3.5.0.jar	junit.awtui	Logo	1	5	4
junit-3.5.0.jar	junit.awtui	ProgressBar	1	11	9
junit-3.5.0.jar	junit.awtui	TestRunner	2	36	14
junit-3.5.0.jar	junit.awtui	TestRunner$1	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$2	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$3	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$4	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$5	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$6	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$7	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$8	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$9	2	2	1
junit-3.5.0.jar	junit.awtui	TestRunner$10	2	2	1
junit-3.5.0.jar	junit.extensions	ActiveTestSuite	2	5	4
junit-3.5.0.jar	junit.extensions	ActiveTestSuite$1	2	2	1
junit-3.5.0.jar	junit.extensions	ExceptionTestCase	1	2	1
junit-3.5.0.jar	junit.extensions	RepeatedTest	1	4	4
junit-3.5.0.jar	junit.extensions	TestDecorator	1	6	5
junit-3.5.0.jar	junit.extensions	TestSetup	2	4	2
junit-3.5.0.jar	junit.extensions	TestSetup$1	2	2	1
junit-3.5.0.jar	junit.framework	Assert	1	31	28
junit-3.5.0.jar	junit.framework	AssertionFailedError	1	2	2
junit-3.5.0.jar	junit.framework	Protectable	1	1	1
junit-3.5.0.jar	junit.framework	Test	1	2	2
junit-3.5.0.jar	junit.framework	TestCase	1	11	7
junit-3.5.0.jar	junit.framework	TestFailure	1	4	4
junit-3.5.0.jar	junit.framework	TestListener	1	4	4
junit-3.5.0.jar	junit.framework	TestResult	2	21	19
junit-3.5.0.jar	junit.framework	TestResult$1	2	2	1
junit-3.5.0.jar	junit.framework	TestSuite	2	18	12
junit-3.5.0.jar	junit.framework	TestSuite$1	2	2	0
junit-3.5.0.jar	junit.runner	BaseTestRunner	1	23	14
junit-3.5.0.jar	junit.runner	ClassPathTestCollector	1	8	2
junit-3.5.0.jar	junit.runner	FailureDetailView	1	3	3
junit-3.5.0.jar	junit.runner	LoadingClassPathTestCollector	1	7	1
junit-3.5.0.jar	junit.runner	ReloadingTestSuiteLoader	1	3	3
junit-3.5.0.jar	junit.runner	SimpleClassPathTestCollector	1	2	1
junit-3.5.0.jar	junit.runner	Sorter	2	2	2
junit-3.5.0.jar	junit.runner	Sorter$Swapper	2	1	1
junit-3.5.0.jar	junit.runner	StandardTestSuiteLoader	1	3	3
junit-3.5.0.jar	junit.runner	TestCaseClassLoader	1	13	6
junit-3.5.0.jar	junit.runner	TestCollector	1	1	1
junit-3.5.0.jar	junit.runner	TestSuiteLoader	1	2	2
junit-3.5.0.jar	junit.runner	Version	1	2	1
junit-3.5.0.jar	junit.swingui	AboutDialog	2	3	1
junit-3.5.0.jar	junit.swingui	AboutDialog$1	2	2	1
junit-3.5.0.jar	junit.swingui	AboutDialog$2	2	2	1
junit-3.5.0.jar	junit.swingui	CounterPanel	1	8	5
junit-3.5.0.jar	junit.swingui	DefaultFailureDetailView	1	5	3
junit-3.5.0.jar	junit.swingui	FailureRunView	2	8	7
junit-3.5.0.jar	junit.swingui	FailureRunView$FailureListCellRenderer	2	3	1
junit-3.5.0.jar	junit.swingui	FailureRunView$1	2	2	0
junit-3.5.0.jar	junit.swingui	FailureRunView$2	2	2	1
junit-3.5.0.jar	junit.swingui	ProgressBar	1	11	9
junit-3.5.0.jar	junit.swingui	StatusLine	1	5	4
junit-3.5.0.jar	junit.swingui	TestHierarchyRunView	2	8	7
junit-3.5.0.jar	junit.swingui	TestHierarchyRunView$1	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunContext	1	2	2
junit-3.5.0.jar	junit.swingui	TestRunView	1	6	6
junit-3.5.0.jar	junit.swingui	TestRunner	2	86	21
junit-3.5.0.jar	junit.swingui	TestRunner$1	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$2	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$3	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$4	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$5	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$6	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$7	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$8	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$9	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$10	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$11	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$12	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$13	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$14	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$15	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$16	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$17	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$18	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$19	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$20	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$21	2	2	1
junit-3.5.0.jar	junit.swingui	TestRunner$22	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector	2	9	6
junit-3.5.0.jar	junit.swingui	TestSelector$TestCellRenderer	2	5	4
junit-3.5.0.jar	junit.swingui	TestSelector$DoubleClickListener	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector$KeySelectListener	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector$1	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector$2	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector$3	2	2	1
junit-3.5.0.jar	junit.swingui	TestSelector$4	2	2	1
