"","team","inTeam","outTeam","num_commits"
"2.3.2",3,3,0,11
"2.3.4",2,0,1,7
"2.3.5",2,1,1,3
"2.3.7",3,2,1,6
"2.3.f",1,0,2,1
"2.4.1",2,1,0,8
"2.4.2",2,1,1,6
"2.5.1",2,1,1,2
"2.5.f",5,3,0,13
"2.6.f",3,0,2,15
"3.0.0",3,1,1,25
"3.0.1",3,1,1,13
"3.0.2",1,0,2,2
"3.1.0",6,5,0,47
"3.2.0",10,5,1,172
"3.2.1",3,1,8,6
"3.2.2",6,3,0,49
"4.0.0",14,10,2,901
"4.0.2",9,4,9,266
"4.1.0",27,20,2,1642
"4.2.0",29,13,11,1088
"4.3.0",60,44,13,6479
"4.3.1",11,1,50,262
"4.3.2",16,5,0,396
"4.3.3",19,6,3,1027
"4.4.2",11,2,10,282
"4.5.0",15,5,1,526
"4.5.1",10,0,5,217
"4.5.2",12,4,2,175
"5.0.0",19,8,1,348
"5.1.0",17,4,6,259
"5.2.0",10,3,10,367
"5.3.0",13,5,2,271
"5.4.0",7,1,7,197
