versions	package	cbo	aff	eff	lcom	mf	cs
2.3.2	NONAME	1	0	2	NaN	0.0	0
2.3.2	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.3	NONAME	1	0	2	NaN	0.0	0
2.3.3	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.4	NONAME	1	0	2	NaN	0.0	0
2.3.4	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.5	NONAME	1	0	2	NaN	0.0	0
2.3.5	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.6	NONAME	1	0	2	NaN	0.0	0
2.3.6	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.7	NONAME	1	0	2	NaN	0.0	0
2.3.7	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.3.f	NONAME	1	0	2	NaN	0.0	0
2.3.f	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.4.1	NONAME	1	0	2	NaN	0.0	0
2.4.1	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.4.2	NONAME	1	0	2	NaN	0.0	0
2.4.2	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.4.f	NONAME	1	0	2	NaN	0.0	0
2.4.f	org.gjt.sp.sim	0	1	0	0.8917748917748918	0.9803921568627451	-159
2.5.1	NONAME	1	0	2	NaN	0.0	0
2.5.1	org.gjt.sp.sim	0	1	0	0.917989417989418	0.9841269841269841	-288
2.5.f	NONAME	1	0	2	NaN	0.0	0
2.5.f	org.gjt.sp.sim	0	1	0	0.917989417989418	0.9841269841269841	-288
2.6.f	NONAME	0	0	0	0.9153439153439153	0.0	-290
3.0.0	gnu.regexp	0	7	0	0.8774703557312253	0.9051094890510949	-133
3.0.0	bsh	0	2	0	0.9146881287726358	0.9929742388758782	-1735
3.0.0	com.microstar.xml	0	3	0	0.75	0.5454545454545454	0
3.0.0	org.gjt.sp.jedit	11	146	69	0.9513700692562481	0.5507246376811594	-2831
3.0.0	org.gjt.sp.jedit.browser	6	3	26	0.8814229249011858	0.594059405940594	-171
3.0.0	org.gjt.sp.jedit.gui	8	33	52	0.9767339771729587	0.4638949671772429	-2136
3.0.0	org.gjt.sp.jedit.io	3	30	13	0.7111111111111111	0.38235294117647056	-9
3.0.0	org.gjt.sp.jedit.msg	2	19	7	1.0	0.0	-55
