versions	package	cbo	aff	eff	lcom	mf	cs
2.0.0	junit.extensions	1	0	2	0.7	0.5454545454545454	0
2.0.0	junit.framework	0	10	0	0.6904761904761905	0.5306122448979592	1
2.0.0	junit.textui	1	0	4	0.5	0.25	1
2.0.0	junit.ui	1	0	3	0.9257246376811594	0.9213483146067416	-224
2.1.0	junit.extensions	1	0	2	0.7	0.5454545454545454	0
2.1.0	junit.framework	0	10	0	0.6904761904761905	0.5306122448979592	1
2.1.0	junit.textui	1	0	4	0.5	0.25	1
2.1.0	junit.ui	1	0	3	0.9057971014492754	0.9369369369369369	-202
3.2.0	junit.extensions	1	0	5	0.7857142857142857	0.5454545454545454	-7
3.2.0	junit.framework	0	21	0	0.8090909090909091	0.4421052631578947	-17
3.2.0	junit.swingui	2	0	13	0.9536585365853658	0.8128342245989305	-732
3.2.0	junit.textui	2	0	7	NaN	0.0	0
3.2.0	junit.ui	2	0	10	0.922077922077922	0.8181818181818182	-185
3.2.0	junit.util	0	12	0	0.9	0.23076923076923078	-9
3.4.0	junit.awtui	2	1	7	0.8875	0.8307692307692308	-86
3.4.0	junit.extensions	1	0	6	0.8333333333333334	0.45161290322580644	-11
3.4.0	junit.framework	0	23	0	0.7909090909090909	0.44660194174757284	-17
3.4.0	junit.runner	1	9	3	0.8	0.4	-3
3.4.0	junit.swingui	2	0	11	0.9452380952380952	0.8070175438596491	-552
3.4.0	junit.textui	2	0	9	NaN	0.0	0
3.4.0	junit.ui	1	0	1	NaN	0.0	0
3.5.0	junit.awtui	2	1	8	0.8875	0.8181818181818182	-86
3.5.0	junit.extensions	1	0	6	0.8333333333333334	0.45161290322580644	-11
3.5.0	junit.framework	0	31	0	0.7818181818181819	0.3870967741935484	-15
3.5.0	junit.runner	1	11	5	0.9166666666666666	0.48148148148148145	-54
3.5.0	junit.swingui	2	0	15	0.9584313725490196	0.7910447761194029	-1141
3.5.0	junit.textui	2	0	10	NaN	0.0	0
3.5.0	junit.ui	1	0	1	NaN	0.0	0
3.6.0	junit.awtui	2	1	8	0.9105263157894737	0.85	-148
3.6.0	junit.extensions	1	1	6	0.8333333333333334	0.4375	-11
3.6.0	junit.framework	0	30	0	0.7818181818181819	0.39344262295081966	-15
3.6.0	junit.runner	1	11	5	0.9166666666666666	0.48148148148148145	-54
3.6.0	junit.swingui	3	0	16	0.9579591836734694	0.789272030651341	-1095
3.6.0	junit.textui	2	0	10	NaN	0.0	0
3.6.0	junit.ui	1	0	1	NaN	0.0	0
3.7.0	junit.awtui	2	1	8	0.8875	0.8181818181818182	-86
3.7.0	junit.extensions	1	1	6	0.8333333333333334	0.4375	-11
3.7.0	junit.framework	0	30	0	0.7818181818181819	0.39344262295081966	-15
3.7.0	junit.runner	1	11	5	0.9166666666666666	0.48148148148148145	-54
3.7.0	junit.swingui	3	0	16	0.9575510204081633	0.7908745247148289	-1093
3.7.0	junit.textui	2	0	10	NaN	0.0	0
3.7.0	junit.ui	1	0	1	NaN	0.0	0
3.8.0	junit.awtui	2	0	8	0.8916666666666667	0.8125	-86
3.8.0	junit.extensions	1	1	6	0.8333333333333334	0.4375	-11
3.8.0	junit.framework	0	30	0	0.803030303030303	0.416	-18
3.8.0	junit.runner	1	13	5	0.9340659340659341	0.42105263157894735	-69
3.8.0	junit.swingui	3	0	16	0.9579591836734694	0.8046875	-1095
3.8.0	junit.textui	2	0	10	0.5	0.125	1
3.8.1	junit.awtui	2	0	8	0.8916666666666667	0.8125	-86
3.8.1	junit.extensions	1	1	6	0.8333333333333334	0.4375	-11
3.8.1	junit.framework	0	30	0	0.7954545454545454	0.4251968503937008	-18
3.8.1	junit.runner	1	13	5	0.9340659340659341	0.42105263157894735	-69
3.8.1	junit.swingui	3	0	16	0.9562074829931972	0.8046875	-1046
3.8.1	junit.textui	2	0	10	0.5	0.125	1
3.8.2	junit.awtui	2	0	8	0.8791666666666667	0.8529411764705882	-86
3.8.2	junit.extensions	1	1	6	0.8571428571428571	0.41379310344827586	-13
3.8.2	junit.framework	0	30	0	0.8205128205128205	0.4409448818897638	-28
3.8.2	junit.runner	1	10	5	0.9340659340659341	0.4528301886792453	-69
3.8.2	junit.swingui	3	0	16	0.9563265306122449	0.8136882129277566	-1091
3.8.2	junit.textui	2	0	10	0.5	0.125	1
4.0.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.0.0	junit.framework	2	14	6	0.8345588235294118	0.6122448979591837	-58
4.0.0	junit.runner	1	3	5	1.0	0.0	-3
4.0.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.0.0	org.junit	0	6	0	0.9333333333333333	0.42857142857142855	-37
4.0.0	org.junit.internal.requests	4	1	13	1.0	0.0	-10
4.0.0	org.junit.internal.runners	6	9	27	0.9117647058823529	0.3404255319148936	-100
4.0.0	org.junit.runner	6	35	13	0.75	0.2692307692307692	-4
4.0.0	org.junit.runner.manipulation	1	9	2	0.7333333333333333	0.37209302325581395	-5
4.0.0	org.junit.runner.notification	1	16	2	0.7	0.6285714285714286	-3
4.0.0	org.junit.runners	4	0	10	0.7619047619047619	0.6060606060606061	-9
4.1.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.1.0	junit.framework	2	14	6	0.8345588235294118	0.6122448979591837	-58
4.1.0	junit.runner	1	3	5	1.0	0.0	-3
4.1.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.1.0	org.junit	0	6	0	0.9333333333333333	0.42857142857142855	-37
4.1.0	org.junit.internal.requests	4	1	13	1.0	0.0	-10
4.1.0	org.junit.internal.runners	6	10	27	0.9117647058823529	0.36486486486486486	-113
4.1.0	org.junit.runner	6	35	13	0.7638888888888888	0.3090909090909091	-8
4.1.0	org.junit.runner.manipulation	1	9	2	0.7333333333333333	0.37209302325581395	-5
4.1.0	org.junit.runner.notification	1	16	2	0.6454545454545455	0.6666666666666666	7
4.1.0	org.junit.runners	4	0	10	0.7916666666666666	0.6818181818181818	-16
4.2.0	junit.extensions	1	1	6	0.8	0.41379310344827586	-7
4.2.0	junit.framework	2	14	6	0.8345588235294118	0.6122448979591837	-58
4.2.0	junit.runner	1	3	5	1.0	0.0	-3
4.2.0	junit.textui	2	0	9	0.5	0.13333333333333333	1
4.2.0	org.junit	1	6	1	0.9333333333333333	0.41379310344827586	-37
4.2.0	org.junit.internal	0	1	0	NaN	0.0	0
