"","CBO","AFF","EFF","LCOM","MQ"
"2.00.0",0.75,2.5,2.25,0.7,2.25
"2.01.0",0.75,2.5,2.25,0.7,2.26
"3.02.0",1.17,5.5,5.83,0.87,2.85
"3.04.0",1.29,4.71,5.29,0.85,2.94
"3.05.0",1.29,6.14,6.43,0.88,2.93
"3.06.0",1.43,6.14,6.57,0.88,2.95
"3.07.0",1.43,6.14,6.57,0.88,2.92
"3.08.0",1.5,7.33,7.5,0.82,3.02
"3.08.1",1.5,7.33,7.5,0.82,3.03
"3.08.2",1.5,6.83,7.5,0.82,3.1
"4.00.0",2.55,8.55,8.45,0.81,3.8
"4.01.0",2.55,8.64,8.45,0.81,3.98
"4.02.0",2.42,8.08,7.83,0.81,3.95
"4.03.1",2.67,8.33,8.08,0.81,4
"4.04.0",2.8,7.4,8.35,0.76,6.82
"4.05.0",3.35,8.31,8.62,0.8,7.38
"4.06.0",3.5,8.89,8.79,0.79,8.5
"4.07.0",3.66,9.24,9.1,0.79,9.02
"4.08.1",3.67,9.1,9,0.78,9.66
"4.09.0",3.71,9.48,9.16,0.82,9.45
"4.10.0",3.74,9.61,9.19,0.82,9.44
"4.11.0",3.86,9.64,8.71,0.81,8.67
"4.12.0",3.97,11.23,9.57,0.78,10.93
"4.12.1",3.9,10.47,9.17,0.78,10.81
"4.12.2",3.97,11.13,9.57,0.78,10.91
"4.12.3",3.97,11.23,9.57,0.78,10.93
"4.13.0",4.12,12.5,10.47,0.79,12.78
