year	author	classes	packages
2000	mdillon	1	1
2000	spestov	4	1
2000	spestov	7	1
2000	spestov	2	1
2000	spestov	6	1
2000	spestov	3	1
2000	spestov	1	1
2000	burtonator	1	1
2000	burtonator	1	1
2000	burtonator	16	2
2000	burtonator	6	1
2000	burtonator	19	1
2000	mdillon	1	1
2000	burtonator	2	1
2000	burtonator	12	1
2000	burtonator	1	1
2000	mdillon	1	1
2000	mdillon	1	1
2000	spestov	5	1
2000	spestov	3	1
2000	burtonator	2	1
2000	spestov	2	1
2000	dmoebius	19	3
2000	dmoebius	4	3
2000	dmoebius	14	4
2000	N/A	1	1
2000	dmoebius	2	2
2000	spestov	3	1
2000	spestov	3	1
2000	spestov	2	1
2000	spestov	1	1
2000	spestov	1	1
2000	spestov	3	1
2000	spestov	2	1
2000	sjakob	5	1
2000	sjakob	1	1
2000	spestov	4	1
2000	burtonator	2	1
2000	burtonator	1	1
2000	burtonator	2	1
2000	spestov	2	1
2000	spestov	1	1
2000	burtonator	3	1
2000	burtonator	1	1
2000	sjakob	2	1
2000	burtonator	1	1
2000	burtonator	1	1
2000	spestov	2	1
2000	sjakob	2	1
2000	dmoebius	4	3
2000	spestov	1	1
2000	spestov	2	1
2000	akaplan	1	1
2000	akaplan	9	1
2000	akaplan	1	1
2000	akaplan	1	1
2000	spestov	3	1
2000	dmoebius	1	1
2000	spestov	9	1
2000	spestov	3	1
2000	dmoebius	11	4
2000	dmoebius	6	2
2000	spestov	3	1
2000	spestov	15	2
2000	dmoebius	6	3
2000	dmoebius	1	1
2000	akaplan	12	2
2000	spestov	1	1
2000	spestov	2	1
2000	akaplan	26	5
2000	akaplan	22	5
2000	dmoebius	4	1
2000	spestov	16	2
2000	akaplan	3	1
2000	spestov	2	1
2000	spestov	2	1
2000	spestov	5	1
2000	spestov	1	1
2000	spestov	2	2
2000	spestov	2	1
2000	sjakob	1	1
2000	spestov	4	1
2000	spestov	1	1
2000	spestov	4	1
2000	akaplan	8	1
2000	akaplan	13	1
2000	akaplan	5	1
2000	akaplan	3	2
2000	akaplan	8	1
2000	akaplan	1	1
2000	akaplan	4	1
2000	akaplan	5	1
2000	spestov	2	1
2000	spestov	5	1
2000	spestov	2	1
2000	spestov	1	1
2000	akaplan	1	1
2000	akaplan	1	1
2000	akaplan	7	1
2000	dmoebius	2	1
2001	akaplan	3	1
2001	akaplan	4	2
2001	dmoebius	1	1
2001	akaplan	4	2
2001	akaplan	2	1
2001	akaplan	2	1
2001	spestov	1	1
2001	spestov	2	1
2001	spestov	1	1
2001	spestov	4	1
2001	spestov	1	1
2001	spestov	1	1
2001	akaplan	3	1
2001	spestov	1	1
2001	joelaff	2	1
2001	joelaff	1	1
2001	spestov	2	1
2001	N/A	1	1
2001	spestov	1	1
2001	dmoebius	10	4
2001	spestov	1	1
2001	spestov	1	1
2001	sjakob	5	1
2001	sjakob	2	1
2001	dmoebius	9	1
2001	dmoebius	12	4
2001	dmoebius	4	3
2001	dmoebius	3	2
2001	dmoebius	5	1
2001	dmoebius	8	4
2001	akaplan	3	1
2001	dmoebius	1	1
2001	akaplan	6	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	dmoebius	4	1
2001	akaplan	4	1
2001	akaplan	8	1
2001	akaplan	3	1
2001	akaplan	2	1
2001	dmoebius	3	2
2001	dmoebius	1	1
2001	spestov	1	1
2001	dmoebius	20	4
2001	dmoebius	1	1
2001	dmoebius	1	1
2001	dmoebius	1	1
2001	dmoebius	1	1
2001	dmoebius	2	1
2001	akaplan	3	1
2001	akaplan	4	1
2001	akaplan	4	1
2001	spestov	1	1
2001	dmoebius	6	1
2001	spestov	1	1
2001	dmoebius	1	1
2001	dmoebius	13	4
2001	spestov	2	1
2001	dmoebius	5	4
2001	spestov	1	1
2001	dmoebius	7	4
2001	dmoebius	8	4
2001	spestov	1	1
2001	spestov	2	1
2001	spestov	2	1
2001	dmoebius	7	3
2001	dmoebius	7	1
2001	dmoebius	1	1
2001	akaplan	1	1
2001	akaplan	3	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	8	1
2001	akaplan	8	1
2001	akaplan	4	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	3	1
2001	akaplan	1	1
2001	spestov	1	1
2001	akaplan	2	1
2001	akaplan	4	1
2001	akaplan	2	1
2001	cyu	30	3
2001	cyu	3	1
2001	cyu	7	2
2001	cyu	1	1
2001	cyu	3	2
2001	cyu	1	1
2001	cyu	1	1
2001	spestov	1	1
2001	akaplan	2	1
2001	akaplan	3	1
2001	akaplan	3	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	3	1
2001	akaplan	26	2
2001	akaplan	13	1
2001	akaplan	3	1
2001	akaplan	3	1
2001	spestov	1	1
2001	dmoebius	19	5
2001	spestov	1	1
2001	spestov	1	1
2001	dmoebius	9	3
2001	spestov	2	1
2001	spestov	6	1
2001	spestov	6	1
2001	dmoebius	2	2
2001	dmoebius	5	2
2001	N/A	1	1
2001	dmoebius	1	1
2001	mdillon	1	1
2001	dmoebius	1	1
2001	spestov	3	1
2001	dmoebius	1	1
2001	dmoebius	1	1
2001	sjakob	4	1
2001	N/A	1	1
2001	cyu	4	2
2001	cyu	1	1
2001	spestov	5	1
2001	cyu	1	1
2001	sjakob	1	1
2001	cyu	1	1
2001	spestov	2	1
2001	spestov	11	1
2001	luckyspin	7	1
2001	spestov	7	1
2001	spestov	4	1
2001	spestov	10	1
2001	spestov	5	1
2001	akaplan	6	1
2001	akaplan	6	1
2001	akaplan	8	2
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	22	2
2001	akaplan	11	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	6	2
2001	akaplan	4	2
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	spestov	7	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	dmoebius	16	2
2001	dmoebius	5	1
2001	steinbeck	4	1
2001	dmoebius	4	1
2001	spestov	7	1
2001	spestov	1	1
2001	spestov	4	1
2001	cyu	2	2
2001	spestov	4	1
2001	spestov	3	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	6	1
2001	spestov	11	2
2001	spestov	3	1
2001	spestov	3	1
2001	spestov	1	1
2001	spestov	5	1
2001	spestov	3	1
2001	dmoebius	1	1
2001	dmoebius	6	2
2001	spestov	1	1
2001	spestov	4	1
2001	spestov	10	1
2001	spestov	1	1
2001	spestov	4	1
2001	spestov	1	1
2001	dmoebius	2	2
2001	dmoebius	3	1
2001	dmoebius	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	5	1
2001	spestov	5	1
2001	cyu	2	2
2001	cyu	1	1
2001	spestov	2	1
2001	dmoebius	1	1
2001	spestov	2	1
2001	dmoebius	2	1
2001	spestov	6	1
2001	spestov	4	1
2001	dmoebius	2	1
2001	akaplan	2	1
2001	akaplan	2	1
2001	spestov	6	1
2001	spestov	1	1
2001	spestov	6	1
2001	spestov	3	1
2001	steinbeck	10	2
2001	steinbeck	10	2
2001	akaplan	1	1
2001	akaplan	2	1
2001	spestov	3	1
2001	spestov	1	1
2001	spestov	7	1
2001	spestov	1	1
2001	tibu	1	1
2001	spestov	5	1
2001	spestov	3	1
2001	dmoebius	7	1
2001	dmoebius	7	1
2001	dmoebius	1	1
2001	spestov	1	1
2001	spestov	9	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	svu	16	4
2001	akaplan	2	1
2001	spestov	1	1
2001	spestov	202	17
2001	spestov	77	4
2001	spestov	279	21
2001	spestov	5	1
2001	spestov	21	2
2001	spestov	1	1
2001	dmoebius	3	1
2001	spestov	7	1
2001	spestov	3	3
2001	spestov	3	3
2001	spestov	5	1
2001	spestov	2	1
2001	luckyspin	2	1
2001	svu	2	1
2001	tibu	1	1
2001	tibu	1	1
2001	spestov	1	1
2001	tibu	1	1
2001	spestov	3	3
2001	spestov	3	3
2001	svu	4	2
2001	tibu	3	1
2001	tibu	1	1
2001	spestov	5	1
2001	spestov	5	3
2001	spestov	5	3
2001	spestov	2	1
2001	spestov	11	2
2001	spestov	4	1
2001	spestov	1	1
2001	akaplan	2	1
2001	akaplan	3	1
2001	akaplan	3	1
2001	spestov	1	1
2001	svu	1	1
2001	akaplan	2	1
2001	akaplan	3	1
2001	akaplan	2	1
2001	akaplan	5	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	spestov	4	1
2001	svu	1	1
2001	spestov	12	2
2001	spestov	26	10
2001	spestov	26	10
2001	spestov	1	1
2001	spestov	4	2
2001	spestov	4	2
2001	spestov	1	1
2001	spestov	1	1
2001	dmoebius	1	1
2001	cswilly	11	2
2001	spestov	33	8
2001	spestov	33	8
2001	spestov	10	4
2001	spestov	10	4
2001	spestov	5	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	3	3
2001	spestov	3	3
2001	spestov	7	1
2001	spestov	3	1
2001	spestov	3	1
2001	spestov	1	1
2001	svu	3	2
2001	spestov	2	1
2001	svu	2	1
2001	spestov	28	7
2001	spestov	28	7
2001	spestov	3	1
2001	jgellene	1	1
2001	svu	3	2
2001	svu	3	2
2001	svu	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	16	8
2001	spestov	16	8
2001	spestov	3	3
2001	spestov	3	3
2001	spestov	5	2
2001	spestov	5	2
2001	spestov	2	1
2001	spestov	2	1
2001	spestov	3	1
2001	svu	4	1
2001	spestov	1	1
2001	spestov	8	4
2001	spestov	8	4
2001	spestov	7	2
2001	spestov	7	2
2001	svu	1	1
2001	spestov	2	1
2001	spestov	2	1
2001	cyu	16	2
2001	cyu	66	9
2001	spestov	8	5
2001	spestov	8	5
2001	cyu	2	1
2001	svu	1	1
2001	svu	1	1
2001	spestov	9	4
2001	spestov	9	4
2001	spestov	6	4
2001	spestov	6	4
2001	svu	4	2
2001	svu	1	1
2001	svu	4	2
2001	spestov	17	6
2001	spestov	17	6
2001	cyu	29	5
2001	spestov	24	7
2001	spestov	24	7
2001	svu	2	1
2001	brik	2	1
2001	brik	8	1
2001	brik	14	2
2001	brik	1	1
2001	spestov	26	8
2001	spestov	26	8
2001	spestov	2	1
2001	svu	1	1
2001	spestov	3	1
2001	brik	2	1
2001	spestov	31	10
2001	spestov	31	10
2001	akaplan	4	1
2001	akaplan	3	1
2001	akaplan	4	1
2001	akaplan	5	2
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	3	1
2001	akaplan	1	1
2001	akaplan	2	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	akaplan	1	1
2001	brik	3	2
2001	spestov	13	6
2001	spestov	13	6
2001	kdrew	17	1
2001	kdrew	2	1
2001	brik	2	1
2001	brik	1	1
2001	spestov	22	7
2001	spestov	22	7
2001	cyu	20	6
2001	cyu	10	6
2001	svu	3	2
2001	brik	1	1
2001	brik	1	1
2001	spestov	16	5
2001	spestov	16	5
2001	cyu	12	5
2001	brik	1	1
2001	N/A	5	1
2001	brik	4	1
2001	N/A	5	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	3	1
2001	kdrew	1	1
2001	spestov	11	4
2001	spestov	11	4
2001	svu	5	1
2001	svu	3	1
2001	svu	1	1
2001	spestov	6	3
2001	spestov	6	3
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	brik	1	1
2001	N/A	7	1
2001	spestov	4	3
2001	spestov	4	3
2001	kdrew	1	1
2001	svu	1	1
2001	kdrew	1	1
2001	kdrew	4	1
2001	kdrew	1	1
2001	kdrew	1	1
2001	spestov	10	6
2001	spestov	10	6
2001	kdrew	2	1
2001	kdrew	1	1
2001	kdrew	4	1
2001	kdrew	1	1
2001	kdrew	2	1
2001	spestov	9	6
2001	spestov	9	6
2001	brik	5	1
2001	spestov	7	5
2001	spestov	7	5
2001	spestov	3	2
2001	spestov	3	2
2001	svu	1	1
2001	brik	1	1
2001	brik	1	1
2001	brik	5	1
2001	spestov	1	1
2001	spestov	6	3
2001	spestov	6	3
2001	spestov	7	4
2001	spestov	7	4
2001	spestov	18	8
2001	spestov	18	8
2001	dmoebius	3	1
2001	spestov	4	4
2001	spestov	4	4
2001	spestov	8	1
2001	spestov	8	1
2001	spestov	10	6
2001	spestov	10	6
2001	brik	3	1
2001	brik	2	1
2001	kdrew	15	1
2001	kdrew	1	1
2001	brik	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	1	1
2001	spestov	5	3
2001	spestov	5	3
2001	dmoebius	16	4
