year	author	classes	packages
2000	jeckel	284	22
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2000	jeckel	2	2
2001	mrfloppy	304	22
2001	mrfloppy	2	2
2001	mrfloppy	86	22
2001	mrfloppy	2	2
2001	mrfloppy	2	2
2001	mrfloppy	2	2
2001	mrfloppy	86	22
2001	mrfloppy	192	22
2001	mrfloppy	32	8
2001	mrfloppy	174	18
2001	mrfloppy	220	22
2001	mrfloppy	16	6
2002	mrfloppy	44	12
2002	mrfloppy	132	20
2002	mrfloppy	138	22
2002	mrfloppy	4	4
2002	mrfloppy	388	30
2002	mrfloppy	6	6
2002	mrfloppy	8	6
2002	mrfloppy	24	6
2002	mrfloppy	32	20
2002	mrfloppy	2	2
2002	mrfloppy	2	2
2002	mrfloppy	4	4
2002	mrfloppy	2	2
2002	mrfloppy	2	2
2002	mrfloppy	8	6
2002	mrfloppy	48	10
2002	mrfloppy	20	10
2002	mrfloppy	2	2
2002	mrfloppy	4	4
2002	mrfloppy	2	2
2002	mrfloppy	2	2
2002	mrfloppy	2	2
2002	mrfloppy	2	2
2002	mtnygard	8	4
2002	mtnygard	2	2
2002	mrfloppy	2	2
2002	mrfloppy	4	2
2002	birdscurrybeer	2	2
2002	birdscurrybeer	2	2
2002	dnoyeb	4	2
2003	dnoyeb	2	2
2003	dnoyeb	8	4
2003	dnoyeb	2	2
2003	dnoyeb	4	4
2003	dnoyeb	16	10
2003	dnoyeb	6	6
2003	dnoyeb	24	8
2003	dnoyeb	22	16
2003	dnoyeb	24	8
2003	dnoyeb	10	6
2003	dnoyeb	12	10
2003	dnoyeb	6	6
2003	dnoyeb	26	14
2003	dnoyeb	10	6
2003	dnoyeb	62	16
2003	dnoyeb	8	4
2003	dnoyeb	38	16
2003	dnoyeb	2	2
2003	dnoyeb	22	6
2003	dnoyeb	56	10
2003	dnoyeb	4	2
2003	dnoyeb	38	12
2003	dnoyeb	12	8
2003	dnoyeb	2	2
2003	dnoyeb	50	16
2003	dnoyeb	8	2
2003	dnoyeb	16	6
2003	dnoyeb	2	2
2003	dnoyeb	8	6
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	4	2
2003	dnoyeb	14	4
2003	dnoyeb	16	6
2003	dnoyeb	14	8
2003	dnoyeb	44	10
2003	dnoyeb	4	2
2003	dnoyeb	12	10
2003	dnoyeb	4	4
2003	dnoyeb	2	2
2003	dnoyeb	4	4
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	4	2
2003	dnoyeb	4	2
2003	dnoyeb	4	2
2003	dnoyeb	2	2
2003	dnoyeb	66	14
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	16	12
2003	dnoyeb	2	2
2003	mrfloppy	6	4
2003	dnoyeb	2	2
2003	dnoyeb	4	2
2003	dnoyeb	2	2
2003	dnoyeb	12	4
2003	dnoyeb	4	4
2003	dnoyeb	2	2
2003	dnoyeb	20	8
2003	dnoyeb	8	4
2003	dnoyeb	2	2
2003	mrfloppy	110	28
2003	mrfloppy	364	26
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	4	4
2003	ricardo_padilha	2	2
2003	dnoyeb	2	2
2003	dnoyeb	10	2
2003	dnoyeb	28	8
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	dnoyeb	4	4
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	22	8
2003	ricardo_padilha	18	8
2003	ricardo_padilha	2	2
2003	ricardo_padilha	32	12
2003	ricardo_padilha	4	4
2003	ricardo_padilha	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	12	6
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	dnoyeb	14	4
2003	dnoyeb	16	8
2003	ricardo_padilha	2	2
2003	dnoyeb	6	4
2003	mrfloppy	112	22
2003	mrfloppy	6	4
2003	dnoyeb	4	4
2003	dnoyeb	4	4
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	dnoyeb	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	44	12
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	pleumann	6	2
2003	pleumann	2	2
2003	pleumann	2	2
2003	pleumann	4	2
2003	pleumann	2	2
2003	pleumann	2	2
2003	ricardo_padilha	2	2
2003	pmorch	2	2
2003	pmorch	2	2
2003	pmorch	2	2
2003	pmorch	4	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	2	2
2003	ricardo_padilha	6	4
2003	pmorch	2	2
2003	mtnygard	350	36
2003	mtnygard	90	36
2003	ricardo_padilha	2	2
2003	mrfloppy	466	46
2004	mrfloppy	484	30
2004	mtnygard	2	2
2004	mrfloppy	3	3
2004	mrfloppy	2	2
2004	mrfloppy	1	1
2004	cfm1	14	5
2004	pmorch	1	1
2004	mrfloppy	14	5
2004	pmorch	1	1
2004	pmorch	5	4
2004	pmorch	5	4
2004	mrfloppy	1	1
2004	pmorch	1	1
2004	pmorch	1	1
2004	mrfloppy	1	1
2004	mrfloppy	10	2
2004	mrfloppy	8	1
2004	mrfloppy	2	2
2004	mrfloppy	1	1
2004	mrfloppy	1	1
2004	mrfloppy	1	1
2004	pleumann	1	1
2005	mrfloppy	8	6
2005	mrfloppy	3	3
2005	mrfloppy	2	2
2006	mrfloppy	195	13
2006	mrfloppy	314	26
2006	mrfloppy	331	22
2006	rawcoder	4	2
2006	rawcoder	1	1
2006	rawcoder	2	2
2006	rawcoder	1	1
2006	rawcoder	1	1
2006	rawcoder	21	2
2006	rawcoder	6	4
2006	rawcoder	2	1
2006	rawcoder	29	2
2006	rawcoder	7	2
2006	rawcoder	2	1
2006	rawcoder	5	2
2006	rawcoder	33	7
2006	rawcoder	44	7
2006	rawcoder	4	2
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	90	2
2007	rawcoder	92	21
2007	rawcoder	3	2
2007	rawcoder	43	15
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	6	3
2007	rawcoder	6	2
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	16	8
2007	rawcoder	4	2
2007	rawcoder	9	1
2007	rawcoder	2	2
2007	rawcoder	24	4
2007	rawcoder	99	22
2007	rawcoder	1	1
2007	rawcoder	17	8
2007	rawcoder	12	5
2007	rawcoder	1	1
2007	rawcoder	12	5
2007	rawcoder	7	6
2007	rawcoder	21	9
2007	rawcoder	48	6
2007	rawcoder	1	1
2007	rawcoder	8	3
2007	rawcoder	26	11
2007	rawcoder	5	3
2007	rawcoder	40	8
2007	rawcoder	8	3
2007	rawcoder	124	17
2007	rawcoder	70	9
2007	rawcoder	19	8
2007	rawcoder	10	2
2007	rawcoder	4	1
2007	rawcoder	2	1
2007	rawcoder	8	4
2007	rawcoder	48	10
2007	rawcoder	17	5
2007	rawcoder	4	2
2007	rawcoder	52	2
2007	rawcoder	24	2
2007	rawcoder	18	5
2007	rawcoder	1	1
2007	rawcoder	26	4
2007	rawcoder	73	4
2007	rawcoder	2	2
2007	rawcoder	6	2
2007	rawcoder	9	4
2007	rawcoder	12	2
2007	rawcoder	1	1
2007	rawcoder	45	2
2007	rawcoder	1	1
2007	rawcoder	1	1
2007	rawcoder	6	1
2007	rawcoder	1	1
2007	rawcoder	4	1
2007	rawcoder	3	1
2007	rawcoder	26	5
2007	rawcoder	1	1
2007	rawcoder	4	2
2007	rawcoder	15	4
2007	rawcoder	2	2
2007	rawcoder	14	5
2007	rawcoder	5	2
2007	rawcoder	44	11
2007	rawcoder	1	1
2007	rawcoder	2	1
2007	rawcoder	2	1
2007	rawcoder	54	16
2007	rawcoder	1	1
2007	rawcoder	79	18
2007	rawcoder	13	4
2008	rawcoder	47	10
2008	rawcoder	372	25
2008	rawcoder	15	4
2008	rawcoder	26	7
2008	rawcoder	71	18
2008	rawcoder	15	6
2008	rawcoder	11	8
2008	rawcoder	14	8
2008	rawcoder	1	1
2008	rawcoder	1	1
2008	rawcoder	3	2
2008	rawcoder	3	2
2008	rawcoder	1	1
2008	rawcoder	8	4
2008	rawcoder	59	6
2008	rawcoder	18	2
2008	rawcoder	3	3
2008	rawcoder	28	3
2008	rawcoder	7	2
2008	rawcoder	3	2
2008	rawcoder	3	2
2008	rawcoder	1	1
2008	rawcoder	2	1
2008	rawcoder	6	2
