versions	author	classes	packages
3.5.0	egamma	60	10
3.5.0	egamma	1	1
3.5.0	egamma	2	1
3.5.0	egamma	1	1
3.5.0	egamma	2	2
3.5.0	egamma	42	8
3.5.0	egamma	9	4
3.5.0	egamma	3	3
3.6.0	egamma	18	7
3.6.0	egamma	9	6
3.8.0	egamma	22	8
3.8.0	egamma	1	1
3.8.0	kbeck	4	1
3.8.0	kbeck	5	3
3.8.0	kbeck	1	1
3.8.0	kbeck	1	1
3.8.0	kbeck	6	5
3.8.0	kbeck	3	2
3.8.0	kbeck	1	1
3.8.0	kbeck	8	3
3.8.0	emeade	8	4
3.8.0	emeade	2	2
3.8.0	emeade	1	1
3.8.0	emeade	2	2
3.8.0	emeade	1	1
3.8.0	kbeck	57	6
3.8.0	kbeck	7	6
3.8.0	emeade	2	2
3.8.0	emeade	1	1
3.8.0	emeade	1	1
3.8.0	emeade	1	1
3.8.0	kbeck	14	8
3.8.0	emeade	1	1
3.8.0	egamma	45	10
3.8.0	egamma	1	1
3.8.0	kbeck	1	1
3.8.0	egamma	5	1
3.8.0	emeade	1	1
3.8.0	egamma	1	1
3.8.0	egamma	1	1
3.8.0	egamma	1	1
3.8.0	kbeck	1	1
3.8.0	kbeck	5	4
3.8.0	kbeck	3	2
3.8.0	kbeck	2	2
3.8.0	kbeck	1	1
3.8.0	kbeck	1	1
3.8.0	kbeck	2	1
3.8.0	kbeck	3	2
3.8.0	kbeck	2	2
3.8.0	kbeck	2	1
3.8.0	kbeck	1	1
3.8.0	egamma	6	3
3.8.0	egamma	2	1
3.8.0	kbeck	1	1
3.8.0	vbossica	1	1
3.8.0	kbeck	1	1
3.8.0	egamma	1	1
3.8.0	egamma	3	2
3.8.0	egamma	2	2
3.8.0	kbeck	1	1
3.8.0	egamma	17	8
3.8.0	egamma	7	4
3.8.0	kbeck	1	1
3.8.0	egamma	1	1
3.8.1	egamma	2	2
3.8.1	egamma	1	1
3.8.1	egamma	4	2
3.8.1	kbeck	2	1
3.8.1	egamma	1	1
3.8.1	egamma	5	4
3.8.1	egamma	2	1
3.8.1	kbeck	2	1
3.8.1	kbeck	1	1
3.8.1	kbeck	3	1
3.8.1	egamma	4	4
4.0.0	emeade	1	1
4.0.0	emeade	1	1
4.0.0	emeade	1	1
4.0.0	emeade	4	2
4.0.0	egamma	1	1
4.0.0	egamma	4	3
4.0.0	kbeck	57	12
4.0.0	kbeck	2	2
4.0.0	egamma	7	3
4.0.0	kbeck	2	2
4.0.0	kbeck	1	1
4.0.0	kbeck	1	1
4.0.0	kbeck	1	1
4.0.0	kbeck	1	1
4.0.0	kbeck	2	2
4.0.0	kbeck	1	1
4.0.0	kbeck	5	3
4.0.0	kbeck	2	2
4.0.0	kbeck	2	2
4.0.0	kbeck	6	3
4.0.0	egamma	7	5
4.0.0	kbeck	1	1
4.0.0	egamma	1	1
4.0.0	egamma	1	1
4.0.0	egamma	1	1
4.0.0	egamma	1	1
4.0.0	egamma	1	1
4.0.0	dsaff	233	31
3.8.2	kbeck	96	16
3.8.2	kbeck	6	4
3.8.2	kbeck	1	1
3.8.2	dsaff	1	1
4.1.0	dsaff	1	1
4.1.0	dsaff	8	4
4.1.0	kbeck	20	20
4.1.0	dsaff	4	2
4.1.0	dsaff	2	2
4.2.0	kbeck	3	3
4.2.0	kbeck	2	2
4.2.0	dsaff	5	3
4.2.0	dsaff	1	1
4.2.0	kbeck	7	3
4.2.0	kbeck	4	3
4.2.0	kbeck	7	5
4.2.0	cmschmidt	1	1
4.2.0	cmschmidt	1	1
4.2.0	cmschmidt	35	12
4.2.0	cmschmidt	1	1
4.2.0	kbeck	2	2
4.2.0	kbeck	1	1
4.2.0	kbeck	1	1
4.2.0	kbeck	3	3
4.3.1	dsaff	19	9
4.3.1	cmschmidt	2	2
4.3.1	dsaff	332	44
4.3.1	dsaff	6	4
4.3.1	dsaff	1	1
4.3.1	kbeck	27	6
4.3.1	dsaff	5	4
4.3.1	dsaff	8	3
4.3.1	dsaff	8	3
4.3.1	dsaff	18	5
4.3.1	dsaff	1	1
4.3.1	kbeck	3	3
4.3.1	kbeck	5	3
4.3.1	dsaff	6	3
4.3.1	dsaff	4	2
4.3.1	dsaff	5	3
4.3.1	dsaff	3	2
4.3.1	dsaff	3	2
4.3.1	dsaff	6	5
4.3.1	dsaff	3	3
4.3.1	kbeck	11	5
4.3.1	kbeck	1	1
4.3.1	dsaff	1	1
4.3.1	dsaff	37	6
4.3.1	dsaff	3	3
4.4.0	dsaff	9	6
4.4.0	dsaff	58	22
4.4.0	dsaff	3	3
4.4.0	dsaff	7	2
4.4.0	dsaff	21	9
4.4.0	dsaff	2	2
4.4.0	dsaff	4	4
4.4.0	dsaff	2	1
4.4.0	dsaff	58	22
4.4.0	dsaff	6	3
4.4.0	dsaff	3	3
4.4.0	dsaff	6	3
4.4.0	dsaff	1	1
4.4.0	dsaff	52	16
4.4.0	dsaff	3	2
4.4.0	dsaff	13	6
4.4.0	dsaff	1	1
4.4.0	dsaff	10	5
4.4.0	dsaff	3	3
4.4.0	dsaff	14	9
4.4.0	dsaff	102	18
4.4.0	dsaff	5	4
4.4.0	dsaff	2	2
4.4.0	kbeck	3	3
4.4.0	dsaff	28	9
4.4.0	dsaff	5	4
4.4.0	dsaff	8	3
4.4.0	dsaff	9	5
4.4.0	dsaff	2	2
4.4.0	kbeck	6	3
4.4.0	dsaff	3	2
4.4.0	kbeck	4	3
4.4.0	dsaff	36	11
4.4.0	dsaff	19	5
4.4.0	dsaff	2	2
4.4.0	kbeck	5	3
4.4.0	dsaff	25	10
4.4.0	dsaff	17	8
4.4.0	kbeck	3	2
4.4.0	dsaff	11	6
4.4.0	kbeck	22	15
4.4.0	dsaff	15	5
4.4.0	dsaff	5	4
4.4.0	dsaff	24	7
4.4.0	kbeck	24	4
4.4.0	dsaff	14	6
4.4.0	kbeck	17	9
4.4.0	dsaff	10	7
4.4.0	kbeck	1	1
4.4.0	dsaff	8	6
4.4.0	dsaff	2	2
4.5.0	dsaff	3	3
4.5.0	dsaff	5	5
4.5.0	dsaff	16	8
4.5.0	dsaff	2	2
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	4	2
4.5.0	dsaff	18	11
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	488	88
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	1	1
4.5.0	dsaff	3	2
