year	author	classes	packages
2000	egamma	60	10
2000	egamma	1	1
2000	egamma	2	1
2000	egamma	1	1
2000	egamma	2	2
2001	egamma	42	8
2001	egamma	9	4
2001	egamma	3	3
2001	egamma	18	7
2001	egamma	9	6
2001	egamma	22	8
2001	egamma	1	1
2001	kbeck	4	1
2001	kbeck	5	3
2001	kbeck	1	1
2001	kbeck	1	1
2001	kbeck	6	5
2001	kbeck	3	2
2001	kbeck	1	1
2001	kbeck	8	3
2001	emeade	8	4
2001	emeade	2	2
2001	emeade	1	1
2001	emeade	2	2
2001	emeade	1	1
2001	kbeck	57	6
2001	kbeck	7	6
2001	emeade	2	2
2002	emeade	1	1
2002	emeade	1	1
2002	emeade	1	1
2002	kbeck	14	8
2002	emeade	1	1
2002	egamma	45	10
2002	egamma	1	1
2002	kbeck	1	1
2002	egamma	5	1
2002	emeade	1	1
2002	egamma	1	1
2002	egamma	1	1
2002	egamma	1	1
2002	kbeck	1	1
2002	kbeck	5	4
2002	kbeck	3	2
2002	kbeck	2	2
2002	kbeck	1	1
2002	kbeck	1	1
2002	kbeck	2	1
2002	kbeck	3	2
2002	kbeck	2	2
2002	kbeck	2	1
2002	kbeck	1	1
2002	egamma	6	3
2002	egamma	2	1
2002	kbeck	1	1
2002	vbossica	1	1
2002	kbeck	1	1
2002	egamma	1	1
2002	egamma	3	2
2002	egamma	2	2
2002	kbeck	1	1
2002	egamma	17	8
2002	egamma	7	4
2002	kbeck	1	1
2002	egamma	1	1
2002	egamma	2	2
2002	egamma	1	1
2002	egamma	4	2
2002	kbeck	2	1
2002	egamma	1	1
2002	egamma	5	4
2002	egamma	2	1
2002	kbeck	2	1
2002	kbeck	1	1
2002	kbeck	3	1
2002	egamma	4	4
2003	emeade	1	1
2003	emeade	1	1
2003	emeade	1	1
2004	emeade	4	2
2004	egamma	1	1
2004	egamma	4	3
2004	kbeck	57	12
2004	kbeck	2	2
2004	egamma	7	3
2004	kbeck	2	2
2004	kbeck	1	1
2004	kbeck	1	1
2004	kbeck	1	1
2004	kbeck	1	1
2004	kbeck	2	2
2004	kbeck	1	1
2004	kbeck	5	3
2004	kbeck	2	2
2004	kbeck	2	2
2004	kbeck	6	3
2004	egamma	7	5
2004	kbeck	1	1
2004	egamma	1	1
2004	egamma	1	1
2004	egamma	1	1
2004	egamma	1	1
2004	egamma	1	1
2006	dsaff	233	31
2006	kbeck	96	16
2006	kbeck	6	4
2006	kbeck	1	1
2006	dsaff	1	1
2006	dsaff	1	1
2006	dsaff	8	4
2006	kbeck	20	20
2006	dsaff	4	2
2006	dsaff	2	2
2006	kbeck	3	3
2006	kbeck	2	2
2006	dsaff	5	3
2006	dsaff	1	1
2006	kbeck	7	3
2006	kbeck	4	3
2006	kbeck	7	5
2006	cmschmidt	1	1
2006	cmschmidt	1	1
2006	cmschmidt	35	12
2006	cmschmidt	1	1
2006	kbeck	2	2
2006	kbeck	1	1
2006	kbeck	1	1
2006	kbeck	3	3
2006	dsaff	19	9
2006	cmschmidt	2	2
2006	dsaff	332	44
2006	dsaff	6	4
2006	dsaff	1	1
2006	kbeck	27	6
2006	dsaff	5	4
2006	dsaff	8	3
2006	dsaff	8	3
2007	dsaff	18	5
2007	dsaff	1	1
2007	kbeck	3	3
2007	kbeck	5	3
2007	dsaff	6	3
2007	dsaff	4	2
2007	dsaff	5	3
2007	dsaff	3	2
2007	dsaff	3	2
2007	dsaff	6	5
2007	dsaff	3	3
2007	kbeck	11	5
2007	kbeck	1	1
2007	dsaff	1	1
2007	dsaff	37	6
2007	dsaff	3	3
2007	dsaff	9	6
2007	dsaff	58	22
2007	dsaff	3	3
2007	dsaff	7	2
2007	dsaff	21	9
2007	dsaff	2	2
2007	dsaff	4	4
2007	dsaff	2	1
2007	dsaff	58	22
2007	dsaff	6	3
2007	dsaff	3	3
2007	dsaff	6	3
2007	dsaff	1	1
2007	dsaff	52	16
2007	dsaff	3	2
2007	dsaff	13	6
2007	dsaff	1	1
2007	dsaff	10	5
2007	dsaff	3	3
2007	dsaff	14	9
2007	dsaff	102	18
2007	dsaff	5	4
2007	dsaff	2	2
2007	kbeck	3	3
2007	dsaff	28	9
2007	dsaff	5	4
2007	dsaff	8	3
2007	dsaff	9	5
2007	dsaff	2	2
2007	kbeck	6	3
2007	dsaff	3	2
2007	kbeck	4	3
2007	dsaff	36	11
2007	dsaff	19	5
2007	dsaff	2	2
2007	kbeck	5	3
2007	dsaff	25	10
2007	dsaff	17	8
2007	kbeck	3	2
2007	dsaff	11	6
2007	kbeck	22	15
2007	dsaff	15	5
2007	dsaff	5	4
2007	dsaff	24	7
2007	kbeck	24	4
2007	dsaff	14	6
2007	kbeck	17	9
2007	dsaff	10	7
2007	kbeck	1	1
2007	dsaff	8	6
2007	dsaff	2	2
2007	dsaff	3	3
2007	dsaff	5	5
2007	dsaff	16	8
2007	dsaff	2	2
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	4	2
2007	dsaff	18	11
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	488	88
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	3	2
2007	dsaff	12	6
2007	dsaff	2	2
2007	dsaff	3	3
2007	dsaff	1	1
2007	dsaff	4	4
2007	dsaff	5	3
2007	dsaff	6	4
2007	dsaff	1	1
2007	dsaff	2	1
2007	dsaff	3	3
2007	dsaff	1	1
2007	dsaff	3	3
2007	dsaff	3	3
2007	dsaff	2	2
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	2	2
2007	dsaff	4	4
2007	dsaff	4	3
2007	dsaff	7	5
2007	dsaff	3	2
2007	dsaff	3	3
2007	dsaff	1	1
2007	dsaff	3	2
2007	dsaff	2	2
2007	dsaff	4	2
2007	dsaff	1	1
2007	dsaff	1	1
2007	dsaff	2	2
2007	kbeck	5	3
2007	kbeck	1	1
2007	dsaff	2	1
2007	dsaff	16	9
2007	dsaff	7	4
2007	dsaff	2	2
2007	dsaff	4	2
2007	dsaff	1	1
2007	dsaff	2	2
2007	dsaff	7	4
2007	dsaff	1	1
2007	dsaff	2	1
2007	dsaff	5	5
2007	dsaff	1	1
2007	dsaff	3	3
2007	dsaff	6	4
2008	dsaff	1	1
2008	dsaff	9	7
2008	dsaff	6	4
2008	dsaff	4	3
2008	dsaff	4	2
2008	dsaff	7	4
2008	dsaff	2	2
2008	dsaff	1	1
2008	dsaff	7	6
2008	dsaff	2	1
2008	dsaff	1	1
2008	dsaff	7	4
2008	dsaff	2	2
2008	kbeck	2	2
2008	kbeck	2	2
2008	kbeck	6	4
2008	dsaff	18	7
2008	dsaff	12	8
2008	dsaff	39	19
2008	kbeck	12	7
2008	kbeck	5	4
2008	dsaff	1	1
2008	dsaff	2	2
2008	dsaff	1	1
2008	kbeck	15	8
2008	dsaff	2	2
2008	dsaff	1	1
2008	dsaff	1	1
2008	dsaff	1	1
2008	dsaff	3	1
2008	dsaff	3	3
2008	kbeck	2	2
2008	dsaff	1	1
2008	kbeck	1	1
2008	dsaff	1	1
2008	kbeck	17	9
2008	dsaff	2	2
2008	kbeck	1	1
2008	kbeck	5	5
2008	dsaff	13	2
2008	kbeck	2	2
2008	kbeck	40	11
2008	kbeck	1	1
2008	kbeck	3	3
2008	dsaff	1	1
2008	kbeck	3	3
2008	kbeck	1	1
2008	kbeck	7	4
2008	kbeck	30	16
2008	kbeck	40	14
2008	dsaff	3	3
2008	dsaff	1	1
2008	kbeck	1	1
2008	dsaff	16	8
2008	dsaff	7	6
2008	dsaff	1	1
2008	kbeck	8	5
2008	dsaff	2	2
2008	dsaff	10	6
2008	dsaff	11	4
2008	dsaff	2	2
2008	dsaff	2	2
2008	dsaff	1	1
2008	dsaff	2	2
2008	dsaff	4	3
2008	dsaff	4	3
2008	dsaff	1	1
2008	dsaff	7	6
2008	kbeck	2	2
2008	dsaff	1	1
2008	dsaff	2	2
2008	kbeck	1	1
2008	dsaff	2	2
2008	dsaff	1	1
2008	dsaff	2	2
2008	dsaff	1	1
2008	dsaff	1	1
2008	dsaff	7	6
2008	kbeck	1	1
2008	dsaff	3	2
2008	kbeck	1	1
2008	kbeck	9	4
2008	kbeck	1	1
2008	kbeck	11	3
2008	kbeck	3	2
2008	kbeck	2	1
2008	kbeck	4	2
2008	kbeck	2	2
2008	kbeck	3	2
2008	kbeck	9	4
2008	kbeck	6	5
2008	kbeck	4	4
2008	kbeck	1	1
2008	kbeck	3	3
2008	dsaff	3	3
2008	dsaff	13	9
2008	kbeck	1	1
2008	kbeck	3	3
2009	kbeck	14	10
2009	unknown	266	51
2009	kbeck	14	9
2009	david.saff	266	51
2009	david.saff	2	2
2009	david.saff	2	2
2009	david.saff	2	2
2009	david.saff	6	5
2009	david.saff	12	7
2009	david.saff	14	9
2009	david.saff	12	7
2009	david.saff	5	2
2009	david.saff	5	2
2009	david.saff	5	4
2009	david.saff	5	4
2009	mike.forsberg	2	2
2009	david.saff	5	5
2009	david.saff	7	7
2009	david.saff	5	5
2009	david.saff	2	2
2009	david.saff	1	1
2009	david.saff	2	2
2009	david.saff	2	2
2009	david.saff	2	2
2009	david.saff	2	2
2009	david.saff	6	6
2009	david.saff	2	2
2009	david.saff	3	3
2009	david.saff	3	3
2009	david.saff	1	1
2009	david.saff	3	3
2009	david.saff	1	1
2009	david.saff	1	1
2009	david.saff	3	3
2009	david.saff	1	1
2009	david.saff	3	3
2009	david.saff	1	1
2009	david.saff	6	3
2009	david.saff	11	7
2009	david.saff	1	1
2009	david.saff	2	2
2009	david.saff	1	1
