"","Packages","Classes","Attrs","Meths","PMeths","dep_class"
"jhotdraw-5.2.0.jar",11,191,218,1548,1230,5.22
"jhotdraw-5.3.0.jar",11,273,111,2361,1834,5.67
"jhotdraw-5.4.1.jar",17,391,544,3346,2560,5.34
"jhotdraw-5.4.2.jar",17,398,560,3432,2593,5.46
"jhotdraw-6.0.1.jar",17,398,560,3432,2593,5.46
"jhotdraw-7.0.6.jar",16,320,661,2760,2169,4.69
"jhotdraw-7.0.7.jar",16,333,694,2812,2200,4.73
"jhotdraw-7.0.8.jar",16,379,765,3288,2600,4.65
"jhotdraw-7.0.9.jar",17,431,883,3597,2837,4.83
"jhotdraw-7.1.0.jar",47,1149,2162,10026,6226,3.53
"jhotdraw-7.2.0.jar",20,391,376,3729,2985,5.13
"jhotdraw-7.3.0.jar",56,1231,1922,11048,6856,3.68
"jhotdraw-7.3.1.jar",56,1233,1923,11078,6875,3.68
"jhotdraw-7.4.1.jar",65,1186,1866,10716,6585,3.79
"jhotdraw-7.5.1.jar",68,1193,2029,10855,6663,3.83
"jhotdraw-7.6.0.jar",67,1195,1990,10951,6748,3.79
