"","Packages","Classes","Attrs","Meths","PMeths","dep_class"
"5.2.0",11,191,218,1548,1230,5.22
"5.3.0",11,273,111,2361,1834,5.67
"5.4.1",17,391,544,3346,2560,5.34
"6.0.1",17,398,560,3432,2593,5.46
"7.0.6",16,320,661,2760,2169,4.69
"7.0.7",16,333,694,2812,2200,4.73
"7.0.8",16,379,765,3288,2600,4.65
"7.0.9",17,431,883,3597,2837,4.83
"7.1.0",47,1149,2162,10026,6226,3.53
"7.2.0",20,391,376,3729,2985,5.13
"7.3.0",56,1231,1922,11048,6856,3.68
"7.3.1",56,1233,1923,11078,6875,3.68
"7.4.1",65,1186,1866,10716,6585,3.79
"7.5.1",68,1193,2029,10855,6663,3.83
"7.6.0",67,1195,1990,10951,6748,3.79
