"","Packages","Classes","Attrs","Meths","PMeths","dep_class"
"2.00.0",4,38,61,203,124,2.21
"2.01.0",4,38,61,213,129,2.5
"3.02.0",6,88,153,443,240,2.48
"3.04.0",7,78,135,443,242,2.63
"3.05.0",7,100,169,555,325,2.77
"3.06.0",7,103,175,566,332,2.72
"3.07.0",7,99,167,564,334,2.77
"3.08.0",6,101,169,594,358,2.72
"3.08.1",6,100,167,591,358,2.76
"3.08.2",6,102,169,616,372,2.73
"4.00.0",11,92,170,555,391,3.71
"4.01.0",11,96,181,560,393,3.74
"4.02.0",12,98,183,569,399,3.69
"4.03.1",12,99,185,588,416,3.74
"4.04.0",20,154,293,859,639,3.71
"4.05.0",26,188,365,1051,729,3.73
"4.06.0",28,204,404,1134,785,3.82
"4.07.0",29,225,447,1212,828,3.73
"4.08.0",30,230,459,1224,837,3.71
"4.08.1",30,230,459,1227,837,3.71
"4.09.0",31,250,492,1276,859,3.53
"4.10.0",31,252,493,1299,869,3.53
"4.11.0",28,233,462,1305,830,3.29
"4.12.0",30,286,582,1627,973,3.59
"4.12.1",30,268,529,1509,927,3.51
"4.12.2",30,283,576,1606,968,3.58
"4.12.3",30,286,582,1627,973,3.59
"4.13.0",32,348,728,1869,1087,3.69
