;ncommit;single_class;single_class_percent;single_package;single_package_percent;classes_commit_mean_sd;packages_commit_mean_sd
5,2,0;13;0;0;0;0;( 2 )  23,69 +- 78,21;( 2 )  3,54 +- 5,55
5,3,0;13;0;0;0;0;( 44 )  89,38 +- 100,88;( 12 )  12,46 +- 9,06
5,4,1;100;0;0;0;0;( 4 )  21,36 +- 56,44;( 4 )  5,96 +- 6,08
6,0,1;74;0;0;0;0;( 2 )  24,97 +- 87,12;( 2 )  5,05 +- 8,39
7,0,6;23;11;47,83;12;52,17;( 2 )  3,78 +- 4,17;( 1 )  2,17 +- 1,59
7,0,7;3;0;0;0;0;( 314 )  280 +- 74,1;( 22 )  20,33 +- 6,66
7,0,8;20;5;25;7;35;( 4 )  17,45 +- 28,05;( 2 )  3,2 +- 4,55
7,0,9;48;11;22,92;14;29,17;( 8 )  19,4 +- 26,69;( 3 )  4,52 +- 4,56
7,1,0;33;7;21,21;12;36,36;( 11 )  27,79 +- 65,27;( 2 )  5,3 +- 6,07
7,3,0;150;31;20,67;40;26,67;( 4 )  16,21 +- 48,35;( 2 )  4,2 +- 5,38
7,3,1;7;1;14,29;1;14,29;( 5 )  6,86 +- 5,58;( 2 )  3,71 +- 2,81
7,4,1;35;5;14,29;8;22,86;( 9 )  40,11 +- 89,13;( 3 )  8,14 +- 11,13
7,5,1;48;7;14,58;15;31,25;( 5 )  20,25 +- 54,37;( 2 )  5,52 +- 8,69
7,6,0;41;10;24,39;12;29,27;( 4 )  34,61 +- 91,91;( 3 )  8,44 +- 13,07
