cycle;instance;nclasses;n1;n2;n3;n4;p1;p2;p3;p4;mojo;evals;tempo
2;apache_zip 36C.odem;36;2.5;0.0;1.5;0.5;10; 5; 8; 6;100.0;1;67
3;apache_zip 36C.odem;36;-2.5;0.5;-1.5;-1.5;0; 6; 2; 2;100.0;17;240
1;apache_zip 36C.odem;36;-1.0;0.0;-2.0;-0.5;3; 5; 1; 4;100.0;30;346
6;apache_zip 36C.odem;36;2.5;-1.0;-1.0;-2.0;10; 3; 3; 1;100.0;9;133
7;apache_zip 36C.odem;36;2.5;-0.5;1.5;0.5;10; 4; 8; 6;100.0;41;233
0;apache_zip 36C.odem;36;2.0;-1.5;2.0;1.0;9; 2; 9; 7;100.0;69;588
9;apache_zip 36C.odem;36;2.5;0.0;2.5;1.5;10; 5; 10; 8;100.0;23;154
8;apache_zip 36C.odem;36;1.0;-2.0;2.5;1.5;7; 1; 10; 8;100.0;49;404
4;apache_zip 36C.odem;36;-2.5;1.0;-1.0;-1.0;0; 7; 3; 3;100.0;140;816
0;forms-1.3.0 68C.odem;68;-2.0;0.0;-1.0;-1.5;1; 5; 3; 2;100.0;18;639
5;apache_zip 36C.odem;36;-0.5;1.5;-0.5;-0.5;4; 8; 4; 4;100.0;122;1037
2;forms-1.3.0 68C.odem;68;-1.5;1.0;-1.0;-0.5;2; 7; 3; 4;100.0;80;2471
1;forms-1.3.0 68C.odem;68;-0.5;-0.5;-1.0;-1.0;4; 4; 3; 3;100.0;82;2567
7;forms-1.3.0 68C.odem;68;2.5;0.0;2.0;1.0;10; 5; 9; 7;100.0;33;1308
2;dom4j-1.5.2 195C.odem;195;2.0;0.0;1.0;1.0;9; 5; 7; 7;100.0;7;4862
0;jnanoxml 25C.odem;25;-1.5;0.0;-2.0;-2.0;2; 5; 1; 1;100.0;54;26
1;joda-money 26C.odem;26;-0.5;-0.5;-2.5;-0.5;4; 4; 0; 4;100.0;88;467
2;joda-money 26C.odem;26;0.5;0.5;2.5;0.5;6; 6; 10; 6;100.0;104;504
5;jnanoxml 25C.odem;25;-0.5;0.0;-2.0;-1.5;4; 5; 1; 2;100.0;59;483
0;joda-money 26C.odem;26;-2.0;0.5;-1.5;-0.5;1; 6; 2; 4;100.0;102;502
4;jnanoxml 25C.odem;25;-1.0;-0.5;-1.0;-1.0;3; 4; 3; 3;100.0;74;507
4;joda-money 26C.odem;26;-0.5;1.0;-2.5;-1.0;4; 7; 0; 3;100.0;134;1010
3;jstl-1.0.6 18C.odem;18;2.5;0.0;1.0;0.5;10; 5; 7; 6;100.0;313;769
4;forms-1.3.0 68C.odem;68;1.0;-0.5;2.0;1.0;7; 4; 9; 7;100.0;149;7885
0;jstl-1.0.6 18C.odem;18;0.5;-0.5;2.0;1.5;6; 4; 9; 8;100.0;466;1241
5;joda-money 26C.odem;26;1.0;0.0;1.5;0.5;7; 5; 8; 6;100.0;192;1289
7;joda-money 26C.odem;26;2.5;0.5;2.5;1.5;10; 6; 10; 8;100.0;122;1226
3;jnanoxml 25C.odem;25;-1.0;0.5;-2.0;-1.0;3; 6; 1; 3;100.0;449;2168
7;jnanoxml 25C.odem;25;2.0;0.0;2.5;2.5;9; 5; 10; 10;100.0;292;1851
5;forms-1.3.0 68C.odem;68;-1.5;0.5;-2.0;-1.5;2; 6; 1; 2;100.0;157;9212
2;javaocr 59C.odem;59;0.5;0.5;1.0;0.5;6; 6; 7; 6;100.0;191;8259
1;jnanoxml 25C.odem;25;2.0;0.5;2.0;1.0;9; 6; 9; 7;100.0;584;3789
6;joda-money 26C.odem;26;-1.0;0.5;-2.5;-1.5;3; 6; 0; 2;100.0;460;3916
6;jnanoxml 25C.odem;25;1.0;0.5;2.0;2.0;7; 6; 9; 9;100.0;518;4493
2;jnanoxml 25C.odem;25;-1.0;-0.5;-1.5;-0.5;3; 4; 2; 4;100.0;675;5253
4;jstl-1.0.6 18C.odem;18;2.0;0.5;1.0;0.5;9; 6; 7; 6;100.0;1451;5002
8;joda-money 26C.odem;26;-0.5;-0.5;-2.5;-1.0;4; 4; 0; 3;100.0;441;4392
4;jxls-reader 27C.odem;27;0.5;-0.5;2.0;1.0;6; 4; 9; 7;100.0;100;1318
2;jxls-reader 27C.odem;27;2.5;-0.5;1.0;1.5;10; 4; 7; 8;100.0;147;1656
4;jscatterplot 74C.odem;74;-1.0;2.5;-1.5;-0.5;3; 10; 2; 4;100.0;41;5496
0;notepad-model 46C.odem;46;-0.5;2.5;-1.5;1.0;4; 10; 2; 7;100.0;1;2
5;notepad-model 46C.odem;46;-1.5;1.0;-2.5;1.5;2; 7; 0; 8;100.0;1;2
6;notepad-model 46C.odem;46;2.0;-0.5;-1.0;0.5;9; 4; 3; 6;100.0;1;2
1;notepad-model 46C.odem;46;-1.0;2.5;-2.5;1.5;3; 10; 0; 8;100.0;1;2
7;notepad-model 46C.odem;46;-1.0;-0.5;-1.0;0.0;3; 4; 3; 5;100.0;1;2
8;notepad-model 46C.odem;46;-0.5;-1.5;0.5;1.0;4; 2; 6; 7;100.0;1;2
9;notepad-model 46C.odem;46;2.5;2.5;2.5;2.5;10; 10; 10; 10;100.0;1;3
4;notepad-model 46C.odem;46;1.5;-1.0;0.0;-1.0;8; 3; 5; 3;100.0;1;2
5;jstl-1.0.6 18C.odem;18;2.5;0.0;1.0;1.0;10; 5; 7; 7;100.0;1608;5202
8;jstl-1.0.6 18C.odem;18;0.5;0.0;2.0;1.5;6; 5; 9; 8;100.0;95;18
