cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
1;apache_zip 36C.odem;36;0.0;0.5;-1.5;-2.0;-1.5;-2.5;5; 6; 2; 1; 2; 0;100.0;38;866 ms
0;seemp 31C.odem;31;1.5;0.0;-0.5;1.0;0.5;0.5;8; 5; 4; 7; 6; 6;100.0;129;1832 ms
3;apache_zip 36C.odem;36;-0.5;0.0;1.0;-0.5;2.0;2.0;4; 5; 7; 4; 9; 9;100.0;76;1550 ms
5;apache_zip 36C.odem;36;-2.5;0.0;0.5;-1.5;-1.5;1.0;0; 5; 6; 2; 2; 7;100.0;69;1630 ms
5;seemp 31C.odem;31;2.5;-2.0;1.5;2.0;0.5;-0.5;10; 1; 8; 9; 6; 4;100.0;188;2984 ms
0;notepad-model 46C.odem;46;-1.0;0.5;-1.5;1.5;1.5;-1.5;3; 6; 2; 8; 8; 2;100.0;1;3 ms
2;notepad-model 46C.odem;46;1.0;0.5;1.0;-1.5;-1.0;-0.5;7; 6; 7; 2; 3; 4;100.0;1;3 ms
3;notepad-model 46C.odem;46;-2.5;-1.0;2.5;0.5;2.0;2.5;0; 3; 10; 6; 9; 10;100.0;1;3 ms
4;notepad-model 46C.odem;46;0.5;1.5;-0.5;-1.5;-2.5;0.5;6; 8; 4; 2; 0; 6;100.0;1;3 ms
6;notepad-model 46C.odem;46;0.0;2.5;-2.5;2.0;1.0;2.0;5; 10; 0; 9; 7; 9;100.0;1;3 ms
7;notepad-model 46C.odem;46;-2.5;-1.5;-1.0;0.5;-2.0;1.0;0; 2; 3; 6; 1; 7;100.0;1;4 ms
8;notepad-model 46C.odem;46;0.0;1.0;0.5;1.0;0.0;0.5;5; 7; 6; 7; 5; 6;100.0;1;4 ms
2;apache_zip 36C.odem;36;0.5;1.5;-2.5;0.0;2.0;0.5;6; 8; 0; 5; 9; 6;100.0;164;3696 ms
9;apache_zip 36C.odem;36;-0.5;-1.5;2.5;2.0;1.0;-1.5;4; 2; 10; 9; 7; 2;100.0;16;59 ms
1;notepad-model 46C.odem;46;0.5;0.0;1.0;0.5;-1.5;-0.5;6; 5; 7; 6; 2; 4;100.0;1;4 ms
9;notepad-model 46C.odem;46;0.5;-2.0;-2.5;1.0;-1.5;1.0;6; 1; 0; 7; 2; 7;100.0;1;291 ms
5;notepad-model 46C.odem;46;1.0;-2.5;-2.0;1.0;1.0;-1.5;7; 0; 1; 7; 7; 2;100.0;1;4 ms
1;seemp 31C.odem;31;-2.0;0.0;-0.5;-2.5;-0.5;-0.5;1; 5; 4; 0; 4; 4;100.0;293;4729 ms
8;apache_zip 36C.odem;36;2.5;-2.5;-0.5;-0.5;-2.5;0.0;10; 0; 4; 4; 0; 5;100.0;135;3137 ms
6;apache_zip 36C.odem;36;-1.5;1.0;-2.5;1.5;2.5;0.0;2; 7; 0; 8; 10; 5;100.0;137;4558 ms
7;apache_zip 36C.odem;36;2.5;2.0;2.5;1.5;1.5;1.5;10; 9; 10; 8; 8; 8;100.0;246;7881 ms
3;jstl-1.0.6 18C.odem;18;1.5;0.0;0.0;2.0;1.5;0.0;8; 5; 5; 9; 8; 5;100.0;2118;14042 ms
0;apache_zip 36C.odem;36;-0.5;-1.0;-1.0;-0.5;-1.5;-0.5;4; 3; 3; 4; 2; 4;100.0;558;22308 ms
4;apache_zip 36C.odem;36;-2.5;2.5;-1.0;-2.0;-1.5;-1.5;0; 10; 3; 1; 2; 2;100.0;691;23742 ms
1;jnanoxml 25C.odem;25;2.5;0.5;0.5;-1.5;0.5;2.5;10; 6; 6; 2; 6; 10;100.0;1341;19587 ms
6;seemp 31C.odem;31;-2.0;2.0;-1.5;-1.5;-1.0;0.5;1; 9; 2; 2; 3; 6;100.0;1197;33441 ms
9;seemp 31C.odem;31;2.5;-2.0;1.0;1.5;1.0;-1.0;10; 1; 7; 8; 7; 3;100.0;84;1948 ms
4;servletapi-2.3 63C.odem;63;2.0;1.5;-0.5;1.0;1.5;0.0;9; 8; 4; 7; 8; 5;100.0;178;37142 ms
6;jnanoxml 25C.odem;25;-1.0;0.0;-0.5;-2.0;-1.5;0.0;3; 5; 4; 1; 2; 5;100.0;1167;21248 ms
2;jnanoxml 25C.odem;25;-1.0;0.5;0.5;-2.0;-1.5;-0.5;3; 6; 6; 1; 2; 4;100.0;2853;46011 ms
2;forms-1.3.0 68C.odem;68;-2.0;-0.5;0.0;-2.5;-2.0;-1.0;1; 4; 5; 0; 1; 3;100.0;165;48198 ms
4;seemp 31C.odem;31;2.5;-1.0;0.5;2.5;1.5;1.0;10; 3; 6; 10; 8; 7;100.0;2162;64430 ms
8;jnanoxml 25C.odem;25;-1.5;-0.5;1.0;-0.5;-1.0;-1.0;2; 4; 7; 4; 3; 3;100.0;1015;16948 ms
2;seemp 31C.odem;31;-0.5;1.0;2.0;0.0;2.0;1.0;4; 7; 9; 5; 9; 7;100.0;2558;74692 ms
4;jxls-reader 27C.odem;27;0.5;-0.5;0.0;2.0;1.5;0.0;6; 4; 5; 9; 8; 5;100.0;3304;74518 ms
0;joda-money 26C.odem;26;-1.0;-0.5;-0.5;-1.5;-0.5;0.5;3; 4; 4; 2; 4; 6;100.0;3811;75432 ms
2;jxls-reader 27C.odem;27;-0.5;0.0;0.0;-1.5;-1.5;0.0;4; 5; 5; 2; 2; 5;100.0;3733;75006 ms
4;joda-money 26C.odem;26;-1.5;-1.0;0.5;-2.5;-1.5;0.0;2; 3; 6; 0; 2; 5;100.0;4482;87164 ms
5;forms-1.3.0 68C.odem;68;2.5;0.5;-0.5;2.0;1.0;0.5;10; 6; 4; 9; 7; 6;100.0;310;91926 ms
5;jstl-1.0.6 18C.odem;18;-2.5;-1.5;-2.5;1.5;-0.5;-2.0;0; 2; 0; 8; 4; 1;92.86;15004;97549 ms
1;jstl-1.0.6 18C.odem;18;0.5;-1.5;-0.5;2.5;1.0;-1.0;6; 2; 4; 10; 7; 3;92.86;15004;97760 ms
0;jstl-1.0.6 18C.odem;18;-1.0;-0.5;0.0;-1.0;-2.0;-1.0;3; 4; 5; 3; 1; 3;92.86;15007;104885 ms
9;jnanoxml 25C.odem;25;-2.0;0.5;1.0;-1.0;-0.5;-0.5;1; 6; 7; 3; 4; 4;100.0;2676;44695 ms
4;jstl-1.0.6 18C.odem;18;1.5;1.5;2.5;-1.0;1.5;1.5;8; 8; 10; 3; 8; 8;92.86;15003;108173 ms
2;jstl-1.0.6 18C.odem;18;2.0;1.0;0.0;0.0;2.0;2.5;9; 7; 5; 5; 9; 10;92.86;15001;108705 ms
3;jnanoxml 25C.odem;25;2.5;0.5;0.0;1.0;1.0;0.0;10; 6; 5; 7; 7; 5;100.0;6782;112170 ms
6;jstl-1.0.6 18C.odem;18;2.5;0.0;0.0;-1.5;2.5;2.0;10; 5; 5; 2; 10; 9;92.86;15004;104065 ms
7;jnanoxml 25C.odem;25;-1.5;-0.5;0.0;0.5;-0.5;-2.5;2; 4; 5; 6; 4; 0;100.0;4504;82003 ms
6;forms-1.3.0 68C.odem;68;1.5;-1.0;0.0;2.0;2.0;1.0;8; 3; 5; 9; 9; 7;100.0;243;71928 ms
8;seemp 31C.odem;31;-2.5;0.5;0.0;-1.5;-0.5;0.0;0; 6; 5; 2; 4; 5;100.0;4311;125699 ms
6;joda-money 26C.odem;26;2.5;-0.5;0.0;2.0;1.5;0.0;10; 4; 5; 9; 8; 5;100.0;2903;57624 ms
3;javaocr 59C.odem;59;-1.5;0.5;0.0;-2.5;-2.0;-2.5;2; 6; 5; 0; 1; 0;100.0;673;135184 ms
8;jstl-1.0.6 18C.odem;18;2.5;0.0;-0.5;1.0;0.5;0.5;10; 5; 4; 7; 6; 6;100.0;6518;44821 ms
7;jstl-1.0.6 18C.odem;18;1.5;0.0;-0.5;2.0;1.0;0.5;8; 5; 4; 9; 7; 6;100.0;6415;46017 ms
7;joda-money 26C.odem;26;-0.5;0.0;0.0;-2.0;-0.5;0.5;4; 5; 5; 1; 4; 6;100.0;3200;72076 ms
3;jxls-reader 27C.odem;27;2.0;0.0;1.0;1.0;1.0;1.0;9; 5; 7; 7; 7; 7;100.0;7853;164195 ms
5;jxls-reader 27C.odem;27;-1.5;-0.5;0.0;-1.5;-0.5;0.5;2; 4; 5; 2; 4; 6;100.0;7778;164389 ms
7;seemp 31C.odem;31;-2.0;1.5;-0.5;-2.0;-1.0;2.5;1; 8; 4; 1; 3; 10;100.0;5482;167452 ms
0;jnanoxml 25C.odem;25;-1.5;-0.5;0.5;-2.0;-1.0;-1.0;2; 4; 6; 1; 3; 3;100.0;10384;174979 ms
9;jxls-reader 27C.odem;27;2.0;0.0;-0.5;2.0;0.5;-1.0;9; 5; 4; 9; 6; 3;100.0;974;18877 ms
8;joda-money 26C.odem;26;2.5;0.5;0.0;2.5;1.5;0.0;10; 6; 5; 10; 8; 5;100.0;2696;52109 ms
9;jstl-1.0.6 18C.odem;18;-2.5;-1.0;0.5;-1.5;-1.0;-0.5;0; 3; 6; 2; 3; 4;92.86;15000;94375 ms
0;jscatterplot 74C.odem;74;-1.0;2.0;0.5;-2.0;-1.0;-2.0;3; 9; 6; 1; 3; 1;100.0;600;221860 ms
3;seemp 31C.odem;31;-2.5;0.0;-1.5;-2.5;-0.5;-2.5;0; 5; 2; 0; 4; 0;100.0;7991;226075 ms
1;joda-money 26C.odem;26;-2.5;0.0;0.5;1.5;-1.5;-2.5;0; 5; 6; 8; 2; 0;100.0;11572;223215 ms
5;jfluid-1.7.0 82C.odem;82;1.5;0.0;0.5;1.5;1.0;-0.5;8; 5; 6; 8; 7; 4;100.0;449;222660 ms
4;udt-java 56C.odem;56;2.0;0.5;0.0;2.5;2.0;-0.5;9; 6; 5; 10; 9; 4;100.0;1433;242555 ms
5;jnanoxml 25C.odem;25;2.5;0.5;-1.0;-2.0;2.0;2.0;10; 6; 3; 1; 9; 9;95.24;15007;257404 ms
4;jnanoxml 25C.odem;25;-2.0;0.0;0.5;1.0;0.0;-1.0;1; 5; 6; 7; 5; 3;90.91;15006;261598 ms
9;joda-money 26C.odem;26;-1.5;0.0;-0.5;-2.5;-1.0;-0.5;2; 5; 4; 0; 3; 4;100.0;5373;104672 ms
5;javaocr 59C.odem;59;2.5;-2.5;0.0;2.5;2.5;2.5;10; 0; 5; 10; 10; 10;100.0;1411;265043 ms
5;joda-money 26C.odem;26;-0.5;0.0;-0.5;-2.5;-0.5;0.0;4; 5; 4; 0; 4; 5;100.0;13327;266343 ms
2;joda-money 26C.odem;26;1.0;0.5;0.5;0.5;2.5;1.5;7; 6; 6; 6; 10; 8;95.83;15007;299150 ms
3;joda-money 26C.odem;26;-1.0;2.0;-1.0;1.0;-2.5;0.5;3; 9; 3; 7; 0; 6;95.83;15006;303237 ms
1;jxls-reader 27C.odem;27;1.0;0.0;0.0;0.5;1.0;1.0;7; 5; 5; 6; 7; 7;95.45;15005;311934 ms
0;jxls-reader 27C.odem;27;2.5;-0.5;0.0;1.0;2.0;0.5;10; 4; 5; 7; 9; 6;95.45;15002;314357 ms
7;jxls-reader 27C.odem;27;0.5;0.0;0.0;2.5;1.0;0.5;6; 5; 5; 10; 7; 6;100.0;12291;254258 ms
0;servletapi-2.3 63C.odem;63;2.5;1.0;-1.0;1.0;1.0;0.5;10; 7; 3; 7; 7; 6;100.0;1606;344247 ms
6;jxls-reader 27C.odem;27;1.5;0.5;0.0;1.0;2.0;1.0;8; 6; 5; 7; 9; 7;95.45;15001;305436 ms
2;servletapi-2.3 63C.odem;63;2.0;0.5;-1.0;1.0;1.0;-1.5;9; 6; 3; 7; 7; 2;100.0;1965;415235 ms
8;jxls-reader 27C.odem;27;0.5;-1.0;-0.5;-0.5;2.0;1.5;6; 3; 4; 4; 9; 8;95.45;15006;299018 ms
2;udt-java 56C.odem;56;0.5;1.0;0.0;2.0;2.5;0.0;6; 7; 5; 9; 10; 5;100.0;2856;465851 ms
1;forms-1.3.0 68C.odem;68;2.5;0.0;-0.5;1.0;1.0;-1.5;10; 5; 4; 7; 7; 2;100.0;1708;474004 ms
0;javaocr 59C.odem;59;1.5;0.0;0.5;2.0;1.0;1.0;8; 5; 6; 9; 7; 7;100.0;3054;562288 ms
2;jscatterplot 74C.odem;74;2.5;-0.5;-1.0;1.0;0.5;1.0;10; 4; 3; 7; 6; 7;100.0;1775;597320 ms
3;jfluid-1.7.0 82C.odem;82;1.0;0.0;1.0;2.0;1.5;1.0;7; 5; 7; 9; 8; 7;100.0;1308;617896 ms
0;forms-1.3.0 68C.odem;68;2.0;0.0;0.0;2.0;1.5;0.0;9; 5; 5; 9; 8; 5;100.0;2290;623093 ms
4;pdf_renderer 199C.odem;199;1.0;-0.5;1.5;2.5;1.5;0.5;7; 4; 8; 10; 8; 6;100.0;104;661020 ms
8;servletapi-2.3 63C.odem;63;0.5;1.0;1.0;2.0;1.0;1.5;6; 7; 7; 9; 7; 8;100.0;1425;285465 ms
9;forms-1.3.0 68C.odem;68;2.0;-1.0;0.0;1.0;0.5;0.0;9; 3; 5; 7; 6; 5;100.0;976;259635 ms
0;udt-java 56C.odem;56;1.0;0.5;1.0;2.5;1.0;0.0;7; 6; 7; 10; 7; 5;100.0;4776;755864 ms
3;pdf_renderer 199C.odem;199;1.0;-0.5;-1.0;2.0;1.0;-0.5;7; 4; 3; 9; 7; 4;100.0;121;755188 ms
3;pfcda_base 67C.odem;67;2.0;0.0;0.0;2.0;0.5;-1.0;9; 5; 5; 9; 6; 3;100.0;3192;795290 ms
3;servletapi-2.3 63C.odem;63;1.5;1.0;0.0;2.0;1.5;-0.5;8; 7; 5; 9; 8; 4;100.0;4505;916024 ms
1;javaocr 59C.odem;59;1.0;0.0;0.0;2.5;1.5;0.5;7; 5; 5; 10; 8; 6;100.0;5287;935066 ms
8;udt-java 56C.odem;56;1.5;0.5;-1.0;1.5;1.0;0.0;8; 6; 3; 8; 7; 5;100.0;1378;206862 ms
4;pfcda_base 67C.odem;67;1.0;0.0;0.5;1.0;0.5;-1.0;7; 5; 6; 7; 6; 3;100.0;4098;1013105 ms
6;udt-java 56C.odem;56;2.5;-1.0;-1.5;1.0;1.5;-0.5;10; 3; 2; 7; 8; 4;100.0;5514;842726 ms
9;servletapi-2.3 63C.odem;63;2.0;0.0;-1.0;1.0;0.5;-0.5;9; 5; 3; 7; 6; 4;100.0;2015;390714 ms
7;servletapi-2.3 63C.odem;63;2.5;-0.5;0.0;2.5;1.0;1.5;10; 4; 5; 10; 7; 8;100.0;3863;761575 ms
5;xmldom 119C.odem;119;1.5;0.5;-1.0;2.0;1.0;-0.5;8; 6; 3; 9; 7; 4;100.0;1018;1257343 ms
5;udt-java 56C.odem;56;1.5;1.0;0.0;2.0;1.5;-1.0;8; 7; 5; 9; 8; 3;100.0;8383;1268187 ms
0;tinytim 134C.odem;134;2.5;0.5;0.5;2.0;1.0;1.5;10; 6; 6; 9; 7; 8;100.0;672;1299329 ms
1;jxls-core 83C.odem;83;2.0;0.5;1.0;2.5;1.5;0.5;9; 6; 7; 10; 8; 6;100.0;2741;1300813 ms
9;udt-java 56C.odem;56;-2.0;0.5;-1.0;-2.0;-1.0;2.5;1; 6; 3; 1; 3; 10;100.0;2804;422188 ms
7;udt-java 56C.odem;56;-2.5;-0.5;-0.5;-2.5;-1.5;0.0;0; 4; 4; 0; 2; 5;100.0;6350;961826 ms
1;udt-java 56C.odem;56;-0.5;0.0;-0.5;-2.5;-1.5;-0.5;4; 5; 4; 0; 2; 4;100.0;9735;1476576 ms
4;forms-1.3.0 68C.odem;68;-2.0;0.0;0.0;-1.0;-1.0;-1.0;1; 5; 5; 3; 3; 3;100.0;5793;1524784 ms
5;jxls-core 83C.odem;83;2.0;0.5;0.5;2.0;1.0;0.0;9; 6; 6; 9; 7; 5;100.0;3356;1548322 ms
7;forms-1.3.0 68C.odem;68;2.0;-0.5;-0.5;2.0;2.5;1.0;9; 4; 4; 9; 10; 7;100.0;5788;1523988 ms
1;pdf_renderer 199C.odem;199;1.0;-0.5;0.0;2.5;1.5;0.5;7; 4; 5; 10; 8; 6;100.0;271;1630037 ms
4;jfluid-1.7.0 82C.odem;82;2.0;0.0;-1.5;2.5;2.0;-1.0;9; 5; 2; 10; 9; 3;100.0;3892;1756277 ms
7;jfluid-1.7.0 82C.odem;82;1.5;0.0;0.5;0.5;0.5;0.5;8; 5; 6; 6; 6; 6;100.0;2955;1286430 ms
6;pfcda_base 67C.odem;67;2.5;0.5;0.5;2.0;2.0;0.5;10; 6; 6; 9; 9; 6;100.0;4777;1119435 ms
