cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
0;apache_zip 36C.odem;36;-2.0;1.0;-2.5;-2.0;-1.5;0.5;1;7;0;1;2;6;100.0;1;72 ms
2;apache_zip 36C.odem;36;-0.5;-0.5;-2.5;0.5;-2.5;-0.5;4;4;0;6;0;4;100.0;28;704 ms
3;apache_zip 36C.odem;36;1.5;-2.5;1.5;-0.5;1.5;1.5;8;0;8;4;8;8;100.0;69;1791 ms
0;seemp 31C.odem;31;-2.5;0.5;-0.5;-2.0;-0.5;0.0;0;6;4;1;4;5;100.0;135;2639 ms
6;apache_zip 36C.odem;36;1.5;-2.0;-2.5;-0.5;-2.0;-1.0;8;1;0;4;1;3;100.0;45;1815 ms
0;notepad-model 46C.odem;46;2.0;2.5;-0.5;-1.0;0.0;-1.0;9;10;4;3;5;3;100.0;1;731 ms
2;notepad-model 46C.odem;46;0.5;-1.5;2.0;1.0;-1.5;-2.5;6;2;9;7;2;0;100.0;1;640 ms
1;notepad-model 46C.odem;46;-2.0;2.5;-1.5;-0.5;-2.5;1.0;1;10;2;4;0;7;100.0;1;474 ms
3;notepad-model 46C.odem;46;2.0;-1.5;-0.5;1.0;1.5;0.0;9;2;4;7;8;5;100.0;1;396 ms
7;notepad-model 46C.odem;46;-2.0;-1.0;-2.0;2.0;0.0;0.5;1;3;1;9;5;6;100.0;1;19 ms
4;notepad-model 46C.odem;46;1.0;-1.5;1.0;2.0;-1.0;-2.5;7;2;7;9;3;0;100.0;1;67 ms
5;notepad-model 46C.odem;46;1.0;1.5;-2.5;1.0;0.0;-0.5;7;8;0;7;5;4;100.0;1;67 ms
6;notepad-model 46C.odem;46;-0.5;-1.0;1.5;2.5;-2.0;-2.0;4;3;8;10;1;1;100.0;1;223 ms
0;jscatterplot 74C.odem;74;2.5;0.0;0.5;2.0;1.0;0.5;10;5;6;9;7;6;100.0;10;3366 ms
