cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
1;seemp 31C.odem;31;-2.0;-2.0;-1.5;1.5;-1.0;-1.5;1.5;-0.5;1; 1; 2; 8; 3; 2; 8; 4;100.0;95;902 ms
3;apache_zip 36C.odem;36;-1.5;0.0;-2.0;0.0;-2.5;-1.5;0.0;1.0;2; 5; 1; 5; 0; 2; 5; 7;100.0;57;1472 ms
0;notepad-model 46C.odem;46;-0.5;-1.5;1.0;-0.5;-1.0;2.5;1.5;1.0;4; 2; 7; 4; 3; 10; 8; 7;100.0;1;72 ms
1;notepad-model 46C.odem;46;-1.5;-1.0;0.5;1.0;-2.0;1.0;1.5;-0.5;2; 3; 6; 7; 1; 7; 8; 4;100.0;1;79 ms
5;notepad-model 46C.odem;46;-2.5;0.0;2.0;2.0;1.0;1.5;-0.5;-1.5;0; 5; 9; 9; 7; 8; 4; 2;100.0;1;8 ms
6;notepad-model 46C.odem;46;2.5;2.5;1.0;0.5;2.5;2.5;1.0;1.0;10; 10; 7; 6; 10; 10; 7; 7;100.0;1;8 ms
7;notepad-model 46C.odem;46;-1.0;-2.0;-1.0;0.0;-1.0;0.0;-2.5;2.5;3; 1; 3; 5; 3; 5; 0; 10;100.0;1;8 ms
8;notepad-model 46C.odem;46;0.5;1.5;2.0;-1.0;0.5;1.5;1.5;-2.5;6; 8; 9; 3; 6; 8; 8; 0;100.0;1;8 ms
9;notepad-model 46C.odem;46;0.0;-2.5;-1.0;0.0;-2.5;0.5;-0.5;2.0;5; 0; 3; 5; 0; 6; 4; 9;100.0;1;8 ms
2;notepad-model 46C.odem;46;1.0;-1.5;1.0;-1.0;1.5;-2.0;-1.5;0.0;7; 2; 7; 3; 8; 1; 2; 5;100.0;1;441 ms
3;notepad-model 46C.odem;46;-1.0;0.0;1.5;-2.0;-0.5;2.5;1.0;-1.0;3; 5; 8; 1; 4; 10; 7; 3;100.0;1;480 ms
4;notepad-model 46C.odem;46;0.5;2.5;2.5;-2.5;2.5;-0.5;1.5;-1.5;6; 10; 10; 0; 10; 4; 8; 2;100.0;1;825 ms
5;apache_zip 36C.odem;36;-0.5;0.0;-1.0;0.0;-2.0;-2.0;1.0;-1.0;4; 5; 3; 5; 1; 1; 7; 3;100.0;96;6715 ms
1;joda-money 26C.odem;26;1.0;-0.5;1.0;-1.5;2.5;1.5;1.5;1.0;7; 4; 7; 2; 10; 8; 8; 7;100.0;694;10789 ms
2;apache_zip 36C.odem;36;1.5;-2.0;1.0;-2.0;-1.5;0.5;1.5;-0.5;8; 1; 7; 1; 2; 6; 8; 4;100.0;489;23731 ms
